q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.010000 , x = [-4.020101   , 2.449152   , -0.910820   , -1.555182   , 2.705261   ]  , c = [-4.020101   , 2.449152   , -0.910820   , -1.555182   , 2.705261   ]
q = 0.020000 , x = [-4.040404   , 2.454609   , -0.912279   , -1.566730   , 2.720044   ]  , c = [-4.040404   , 2.454609   , -0.912279   , -1.566730   , 2.720044   ]
q = 0.030000 , x = [-4.060914   , 2.460121   , -0.913753   , -1.578395   , 2.734978   ]  , c = [-4.060914   , 2.460121   , -0.913753   , -1.578395   , 2.734978   ]
q = 0.040000 , x = [-4.081633   , 2.465689   , -0.915242   , -1.590179   , 2.750064   ]  , c = [-4.081633   , 2.465689   , -0.915242   , -1.590179   , 2.750064   ]
q = 0.050000 , x = [-4.102564   , 2.471314   , -0.916747   , -1.602083   , 2.765304   ]  , c = [-4.102564   , 2.471314   , -0.916747   , -1.602083   , 2.765304   ]
q = 0.060000 , x = [-4.123711   , 2.476997   , -0.918267   , -1.614111   , 2.780702   ]  , c = [-4.123711   , 2.476997   , -0.918267   , -1.614111   , 2.780702   ]
q = 0.070000 , x = [-4.145078   , 2.482740   , -0.919802   , -1.626263   , 2.796260   ]  , c = [-4.145078   , 2.482740   , -0.919802   , -1.626263   , 2.796260   ]
q = 0.080000 , x = [-4.166667   , 2.488542   , -0.921354   , -1.638542   , 2.811979   ]  , c = [-4.166667   , 2.488542   , -0.921354   , -1.638542   , 2.811979   ]
q = 0.090000 , x = [-4.188482   , 2.494404   , -0.922922   , -1.650949   , 2.827863   ]  , c = [-4.188482   , 2.494404   , -0.922922   , -1.650949   , 2.827863   ]
q = 0.100000 , x = [-4.210526   , 2.500329   , -0.924507   , -1.663487   , 2.843914   ]  , c = [-4.210526   , 2.500329   , -0.924507   , -1.663487   , 2.843914   ]
q = 0.110000 , x = [-4.232804   , 2.506316   , -0.926108   , -1.676157   , 2.860136   ]  , c = [-4.232804   , 2.506316   , -0.926108   , -1.676157   , 2.860136   ]
q = 0.120000 , x = [-4.255319   , 2.512367   , -0.927726   , -1.688963   , 2.876529   ]  , c = [-4.255319   , 2.512367   , -0.927726   , -1.688963   , 2.876529   ]
q = 0.130000 , x = [-4.278075   , 2.518483   , -0.929362   , -1.701905   , 2.893098   ]  , c = [-4.278075   , 2.518483   , -0.929362   , -1.701905   , 2.893098   ]
q = 0.140000 , x = [-4.301075   , 2.524664   , -0.931015   , -1.714987   , 2.909845   ]  , c = [-4.301075   , 2.524664   , -0.931015   , -1.714987   , 2.909845   ]
q = 0.150000 , x = [-4.324324   , 2.530912   , -0.932686   , -1.728209   , 2.926774   ]  , c = [-4.324324   , 2.530912   , -0.932686   , -1.728209   , 2.926774   ]
q = 0.160000 , x = [-4.347826   , 2.537228   , -0.934375   , -1.741576   , 2.943886   ]  , c = [-4.347826   , 2.537228   , -0.934375   , -1.741576   , 2.943886   ]
q = 0.170000 , x = [-4.371585   , 2.543613   , -0.936083   , -1.755089   , 2.961185   ]  , c = [-4.371585   , 2.543613   , -0.936083   , -1.755089   , 2.961185   ]
q = 0.180000 , x = [-4.395604   , 2.550069   , -0.937809   , -1.768750   , 2.978674   ]  , c = [-4.395604   , 2.550069   , -0.937809   , -1.768750   , 2.978674   ]
q = 0.190000 , x = [-4.419890   , 2.556595   , -0.939555   , -1.782562   , 2.996357   ]  , c = [-4.419890   , 2.556595   , -0.939555   , -1.782562   , 2.996357   ]
q = 0.200000 , x = [-4.444444   , 2.563194   , -0.941319   , -1.796528   , 3.014236   ]  , c = [-4.444444   , 2.563194   , -0.941319   , -1.796528   , 3.014236   ]
q = 0.210000 , x = [-4.469274   , 2.569867   , -0.943104   , -1.810649   , 3.032315   ]  , c = [-4.469274   , 2.569867   , -0.943104   , -1.810649   , 3.032315   ]
q = 0.220000 , x = [-4.494382   , 2.576615   , -0.944909   , -1.824930   , 3.050597   ]  , c = [-4.494382   , 2.576615   , -0.944909   , -1.824930   , 3.050597   ]
q = 0.230000 , x = [-4.519774   , 2.583439   , -0.946734   , -1.839371   , 3.069085   ]  , c = [-4.519774   , 2.583439   , -0.946734   , -1.839371   , 3.069085   ]
q = 0.240000 , x = [-4.545455   , 2.590341   , -0.948580   , -1.853977   , 3.087784   ]  , c = [-4.545455   , 2.590341   , -0.948580   , -1.853977   , 3.087784   ]
q = 0.250000 , x = [-4.571429   , 2.597321   , -0.950446   , -1.868750   , 3.106696   ]  , c = [-4.571429   , 2.597321   , -0.950446   , -1.868750   , 3.106696   ]
q = 0.260000 , x = [-4.597701   , 2.604382   , -0.952335   , -1.883693   , 3.125826   ]  , c = [-4.597701   , 2.604382   , -0.952335   , -1.883693   , 3.125826   ]
q = 0.270000 , x = [-4.624277   , 2.611525   , -0.954245   , -1.898808   , 3.145177   ]  , c = [-4.624277   , 2.611525   , -0.954245   , -1.898808   , 3.145177   ]
q = 0.280000 , x = [-4.651163   , 2.618750   , -0.956177   , -1.914099   , 3.164753   ]  , c = [-4.651163   , 2.618750   , -0.956177   , -1.914099   , 3.164753   ]
q = 0.290000 , x = [-4.678363   , 2.626060   , -0.958132   , -1.929569   , 3.184558   ]  , c = [-4.678363   , 2.626060   , -0.958132   , -1.929569   , 3.184558   ]
q = 0.300000 , x = [-4.705882   , 2.633456   , -0.960110   , -1.945221   , 3.204596   ]  , c = [-4.705882   , 2.633456   , -0.960110   , -1.945221   , 3.204596   ]
q = 0.310000 , x = [-4.733728   , 2.640939   , -0.962112   , -1.961058   , 3.224871   ]  , c = [-4.733728   , 2.640939   , -0.962112   , -1.961058   , 3.224871   ]
q = 0.320000 , x = [-4.761905   , 2.648512   , -0.964137   , -1.977083   , 3.245387   ]  , c = [-4.761905   , 2.648512   , -0.964137   , -1.977083   , 3.245387   ]
q = 0.330000 , x = [-4.790419   , 2.656175   , -0.966186   , -1.993301   , 3.266149   ]  , c = [-4.790419   , 2.656175   , -0.966186   , -1.993301   , 3.266149   ]
q = 0.340000 , x = [-4.819277   , 2.663931   , -0.968261   , -2.009714   , 3.287161   ]  , c = [-4.819277   , 2.663931   , -0.968261   , -2.009714   , 3.287161   ]
