q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.010000 , x = [-4.040404   , 2.454609   , -0.912279   , -1.566730   , 2.720044   ]
q = 0.020000 , x = [-4.081633   , 2.465689   , -0.915242   , -1.590179   , 2.750064   ]
q = 0.030000 , x = [-4.123711   , 2.476997   , -0.918267   , -1.614111   , 2.780702   ]
q = 0.040000 , x = [-4.166667   , 2.488542   , -0.921354   , -1.638542   , 2.811979   ]
q = 0.050000 , x = [-4.210526   , 2.500329   , -0.924507   , -1.663487   , 2.843914   ]
q = 0.060000 , x = [-4.255319   , 2.512367   , -0.927726   , -1.688963   , 2.876529   ]
q = 0.070000 , x = [-4.301075   , 2.524664   , -0.931015   , -1.714987   , 2.909845   ]
q = 0.080000 , x = [-4.347826   , 2.537228   , -0.934375   , -1.741576   , 2.943886   ]
q = 0.090000 , x = [-4.395604   , 2.550069   , -0.937809   , -1.768750   , 2.978674   ]
q = 0.100000 , x = [-4.444444   , 2.563194   , -0.941319   , -1.796528   , 3.014236   ]
q = 0.110000 , x = [-4.494382   , 2.576615   , -0.944909   , -1.824930   , 3.050597   ]
q = 0.120000 , x = [-4.545455   , 2.590341   , -0.948580   , -1.853977   , 3.087784   ]
q = 0.130000 , x = [-4.597701   , 2.604382   , -0.952335   , -1.883693   , 3.125826   ]
q = 0.140000 , x = [-4.651163   , 2.618750   , -0.956177   , -1.914099   , 3.164753   ]
q = 0.150000 , x = [-4.705882   , 2.633456   , -0.960110   , -1.945221   , 3.204596   ]
q = 0.160000 , x = [-4.761905   , 2.648512   , -0.964137   , -1.977083   , 3.245387   ]
q = 0.170000 , x = [-4.819277   , 2.663931   , -0.968261   , -2.009714   , 3.287161   ]
q = 0.180000 , x = [-4.878049   , 2.679726   , -0.972485   , -2.043140   , 3.329954   ]
q = 0.190000 , x = [-4.938272   , 2.695910   , -0.976813   , -2.077392   , 3.373804   ]
q = 0.200000 , x = [-5.000000   , 2.712500   , -0.981250   , -2.112500   , 3.418750   ]
q = 0.210000 , x = [-5.063291   , 2.729509   , -0.985799   , -2.148497   , 3.464834   ]
q = 0.220000 , x = [-5.128205   , 2.746955   , -0.990465   , -2.185417   , 3.512099   ]
q = 0.230000 , x = [-5.194805   , 2.764854   , -0.995252   , -2.223295   , 3.560593   ]
q = 0.240000 , x = [-5.263158   , 2.783224   , -1.000164   , -2.262171   , 3.610362   ]
q = 0.250000 , x = [-5.333333   , 2.802083   , -1.005208   , -2.302083   , 3.661458   ]
q = 0.260000 , x = [-5.405405   , 2.821453   , -1.010389   , -2.343074   , 3.713936   ]
q = 0.270000 , x = [-5.479452   , 2.841353   , -1.015711   , -2.385188   , 3.767851   ]
q = 0.280000 , x = [-5.555556   , 2.861806   , -1.021181   , -2.428472   , 3.823264   ]
q = 0.290000 , x = [-5.633803   , 2.882835   , -1.026805   , -2.472975   , 3.880238   ]
q = 0.300000 , x = [-5.714286   , 2.904464   , -1.032589   , -2.518750   , 3.938839   ]
q = 0.310000 , x = [-5.797101   , 2.926721   , -1.038542   , -2.565851   , 3.999139   ]
q = 0.320000 , x = [-5.882353   , 2.949632   , -1.044669   , -2.614338   , 4.061213   ]
q = 0.330000 , x = [-5.970149   , 2.973228   , -1.050979   , -2.664272   , 4.125140   ]
q = 0.340000 , x = [-6.060606   , 2.997538   , -1.057481   , -2.715720   , 4.191004   ]
q = 0.350000 , x = [-6.153846   , 3.022596   , -1.064183   , -2.768750   , 4.258894   ]
q = 0.360000 , x = [-6.250000   , 3.048438   , -1.071094   , -2.823438   , 4.328906   ]
q = 0.370000 , x = [-6.349206   , 3.075099   , -1.078224   , -2.879861   , 4.401141   ]
q = 0.380000 , x = [-6.451613   , 3.102621   , -1.085585   , -2.938105   , 4.475706   ]
q = 0.390000 , x = [-6.557377   , 3.131045   , -1.093186   , -2.998258   , 4.552715   ]
q = 0.400000 , x = [-6.666667   , 3.160417   , -1.101042   , -3.060417   , 4.632292   ]
q = 0.410000 , x = [-6.779661   , 3.190784   , -1.109163   , -3.124682   , 4.714566   ]
q = 0.420000 , x = [-6.896552   , 3.222198   , -1.117565   , -3.191164   , 4.799677   ]
q = 0.430000 , x = [-7.017544   , 3.254715   , -1.126261   , -3.259978   , 4.887774   ]
q = 0.440000 , x = [-7.142857   , 3.288393   , -1.135268   , -3.331250   , 4.979018   ]
q = 0.450000 , x = [-7.272727   , 3.323295   , -1.144602   , -3.405114   , 5.073580   ]
q = 0.460000 , x = [-7.407407   , 3.359491   , -1.154282   , -3.481713   , 5.171644   ]
q = 0.470000 , x = [-7.547170   , 3.397052   , -1.164328   , -3.561203   , 5.273408   ]
q = 0.480000 , x = [-7.692308   , 3.436058   , -1.174760   , -3.643750   , 5.379087   ]
q = 0.490000 , x = [-7.843137   , 3.476593   , -1.185600   , -3.729534   , 5.488909   ]
q = 0.500000 , x = [-8.000000   , 3.518750   , -1.196875   , -3.818750   , 5.603125   ]
q = 0.510000 , x = [-8.163265   , 3.562628   , -1.208610   , -3.911607   , 5.722003   ]
q = 0.520000 , x = [-8.333333   , 3.608333   , -1.220833   , -4.008333   , 5.845833   ]
q = 0.530000 , x = [-8.510638   , 3.655984   , -1.233577   , -4.109176   , 5.974934   ]
q = 0.540000 , x = [-8.695652   , 3.705707   , -1.246875   , -4.214402   , 6.109647   ]
q = 0.550000 , x = [-8.888889   , 3.757639   , -1.260764   , -4.324306   , 6.250347   ]
q = 0.560000 , x = [-9.090909   , 3.811932   , -1.275284   , -4.439205   , 6.397443   ]
q = 0.570000 , x = [-9.302326   , 3.868750   , -1.290480   , -4.559448   , 6.551381   ]
q = 0.580000 , x = [-9.523810   , 3.928274   , -1.306399   , -4.685417   , 6.712649   ]
q = 0.590000 , x = [-9.756098   , 3.990701   , -1.323095   , -4.817530   , 6.881784   ]
q = 0.600000 , x = [-10.000000   , 4.056250   , -1.340625   , -4.956250   , 7.059375   ]
q = 0.610000 , x = [-10.256410   , 4.125160   , -1.359054   , -5.102083   , 7.246074   ]
q = 0.620000 , x = [-10.526316   , 4.197697   , -1.378454   , -5.255592   , 7.442599   ]
q = 0.630000 , x = [-10.810811   , 4.274155   , -1.398902   , -5.417399   , 7.649747   ]
q = 0.640000 , x = [-11.111111   , 4.354861   , -1.420486   , -5.588194   , 7.868403   ]
q = 0.650000 , x = [-11.428571   , 4.440179   , -1.443304   , -5.768750   , 8.099554   ]
q = 0.660000 , x = [-11.764706   , 4.530515   , -1.467463   , -5.959926   , 8.344301   ]
q = 0.670000 , x = [-12.121212   , 4.626326   , -1.493087   , -6.162689   , 8.603883   ]
q = 0.680000 , x = [-12.500000   , 4.728125   , -1.520313   , -6.378125   , 8.879688   ]
q = 0.690000 , x = [-12.903226   , 4.836492   , -1.549294   , -6.607460   , 9.173286   ]
q = 0.700000 , x = [-13.333333   , 4.952083   , -1.580208   , -6.852083   , 9.486458   ]
q = 0.710000 , x = [-13.793103   , 5.075647   , -1.613254   , -7.113578   , 9.821228   ]
q = 0.720000 , x = [-14.285714   , 5.208036   , -1.648661   , -7.393750   , 10.179911   ]
q = 0.730000 , x = [-14.814815   , 5.350231   , -1.686690   , -7.694676   , 10.565162   ]
q = 0.740000 , x = [-15.384615   , 5.503365   , -1.727644   , -8.018750   , 10.980048   ]
q = 0.750000 , x = [-16.000000   , 5.668750   , -1.771875   , -8.368750   , 11.428125   ]
q = 0.760000 , x = [-16.666667   , 5.847917   , -1.819792   , -8.747917   , 11.913542   ]
q = 0.770000 , x = [-17.391304   , 6.042663   , -1.871875   , -9.160054   , 12.441168   ]
q = 0.780000 , x = [-18.181818   , 6.255114   , -1.928693   , -9.609659   , 13.016761   ]
