t,K,Z
0,1,0.5
0.001,1.0005,0.5
0.002,1.001,0.5
0.003,1.0015,0.500001
0.004,1.002,0.500002
0.005,1.0025,0.500003
0.006,1.003,0.500004
0.007,1.00351,0.500005
0.008,1.00401,0.500007
0.009,1.00451,0.500009
0.01,1.00501,0.500011
0.011,1.00551,0.500014
0.012,1.00602,0.500017
0.013,1.00652,0.50002
0.014,1.00702,0.500023
0.015,1.00753,0.500026
0.016,1.00803,0.50003
0.017,1.00853,0.500034
0.018,1.00904,0.500038
0.019,1.00954,0.500043
0.02,1.01005,0.500048
0.021,1.01055,0.500053
0.022,1.01106,0.500058
0.023,1.01156,0.500063
0.024,1.01207,0.500069
0.025,1.01257,0.500075
0.026,1.01308,0.500082
0.027,1.01359,0.500088
0.028,1.01409,0.500095
0.029,1.0146,0.500102
0.03,1.01511,0.500109
0.031,1.01562,0.500117
0.032,1.01612,0.500125
0.033,1.01663,0.500133
0.034,1.01714,0.500141
0.035,1.01765,0.50015
0.036,1.01816,0.500158
0.037,1.01867,0.500167
0.038,1.01917,0.500177
0.039,1.01968,0.500186
0.04,1.02019,0.500196
0.041,1.0207,0.500206
0.042,1.02121,0.500217
0.043,1.02172,0.500227
0.044,1.02223,0.500238
0.045,1.02275,0.500249
0.046,1.02326,0.500261
0.047,1.02377,0.500272
0.048,1.02428,0.500284
0.049,1.02479,0.500296
0.05,1.0253,0.500309
0.051,1.02582,0.500321
0.052,1.02633,0.500334
0.053,1.02684,0.500348
0.054,1.02735,0.500361
0.055,1.02787,0.500375
0.056,1.02838,0.500389
0.057,1.0289,0.500403
0.058,1.02941,0.500417
0.059,1.02992,0.500432
0.06,1.03044,0.500447
0.061,1.03095,0.500462
0.062,1.03147,0.500478
0.063,1.03198,0.500493
0.064,1.0325,0.500509
0.065,1.03301,0.500526
0.066,1.03353,0.500542
0.067,1.03405,0.500559
0.068,1.03456,0.500576
0.069,1.03508,0.500593
0.07,1.0356,0.500611
0.071,1.03611,0.500629
0.072,1.03663,0.500647
0.073,1.03715,0.500665
0.074,1.03767,0.500684
0.075,1.03818,0.500703
0.076,1.0387,0.500722
0.077,1.03922,0.500741
0.078,1.03974,0.500761
0.079,1.04026,0.500781
0.08,1.04078,0.500801
0.081,1.0413,0.500821
0.082,1.04182,0.500842
0.083,1.04234,0.500863
0.084,1.04286,0.500884
0.085,1.04338,0.500906
0.086,1.0439,0.500927
0.087,1.04442,0.500949
0.088,1.04494,0.500971
0.089,1.04546,0.500994
0.09,1.04599,0.501017
0.091,1.04651,0.50104
0.092,1.04703,0.501063
0.093,1.04755,0.501087
0.094,1.04807,0.501111
0.095,1.0486,0.501135
0.096,1.04912,0.501159
0.097,1.04964,0.501184
0.098,1.05017,0.501208
0.099,1.05069,0.501234
0.1,1.05121,0.501259
0.101,1.05174,0.501285
0.102,1.05226,0.501311
0.103,1.05279,0.501337
0.104,1.05331,0.501363
0.105,1.05384,0.50139
0.106,1.05436,0.501417
0.107,1.05489,0.501444
0.108,1.05542,0.501472
0.109,1.05594,0.5015
0.11,1.05647,0.501528
0.111,1.05699,0.501556
0.112,1.05752,0.501585
0.113,1.05805,0.501613
0.114,1.05858,0.501643
0.115,1.0591,0.501672
0.116,1.05963,0.501702
0.117,1.06016,0.501731
0.118,1.06069,0.501762
0.119,1.06122,0.501792
0.12,1.06174,0.501823
0.121,1.06227,0.501854
0.122,1.0628,0.501885
0.123,1.06333,0.501917
0.124,1.06386,0.501948
0.125,1.06439,0.50198
0.126,1.06492,0.502013
0.127,1.06545,0.502045
0.128,1.06598,0.502078
0.129,1.06651,0.502111
0.13,1.06704,0.502145
0.131,1.06758,0.502178
0.132,1.06811,0.502212
0.133,1.06864,0.502247
0.134,1.06917,0.502281
0.135,1.0697,0.502316
0.136,1.07024,0.502351
0.137,1.07077,0.502386
0.138,1.0713,0.502422
0.139,1.07183,0.502457
0.14,1.07237,0.502494
0.141,1.0729,0.50253
0.142,1.07343,0.502567
0.143,1.07397,0.502603
0.144,1.0745,0.502641
0.145,1.07504,0.502678
0.146,1.07557,0.502716
0.147,1.07611,0.502754
0.148,1.07664,0.502792
0.149,1.07718,0.502831
0.15,1.07771,0.502869
0.151,1.07825,0.502908
0.152,1.07878,0.502948
0.153,1.07932,0.502987
0.154,1.07986,0.503027
0.155,1.08039,0.503067
0.156,1.08093,0.503108
0.157,1.08147,0.503149
0.158,1.082,0.50319
0.159,1.08254,0.503231
0.16,1.08308,0.503272
0.161,1.08362,0.503314
0.162,1.08416,0.503356
