t,K,Z
0,1,0.5
0.01,1.00501,0.498756
0.02,1.01006,0.497537
0.03,1.01515,0.496343
0.04,1.02028,0.495174
0.05,1.02544,0.49403
0.06,1.03064,0.49291
0.07,1.03588,0.491815
0.08,1.04115,0.490744
0.09,1.04647,0.489698
0.1,1.05182,0.488676
0.11,1.05721,0.487679
0.12,1.06264,0.486706
0.13,1.06811,0.485758
0.14,1.07361,0.484834
0.15,1.07916,0.483934
0.16,1.08474,0.483059
0.17,1.09036,0.482207
0.18,1.09602,0.48138
0.19,1.10171,0.480578
0.2,1.10745,0.479799
0.21,1.11322,0.479045
0.22,1.11903,0.478314
0.23,1.12488,0.477608
0.24,1.13077,0.476926
0.25,1.1367,0.476268
0.26,1.14266,0.475634
0.27,1.14866,0.475025
0.28,1.15471,0.474439
0.29,1.16079,0.473877
0.3,1.16691,0.47334
0.31,1.17306,0.472827
0.32,1.17926,0.472338
0.33,1.18549,0.471873
0.34,1.19176,0.471432
0.35,1.19808,0.471015
0.36,1.20442,0.470623
0.37,1.21081,0.470255
0.38,1.21724,0.46991
0.39,1.2237,0.469591
0.4,1.2302,0.469295
0.41,1.23674,0.469024
0.42,1.24332,0.468777
0.43,1.24993,0.468554
0.44,1.25659,0.468356
0.45,1.26328,0.468183
0.46,1.27,0.468033
0.47,1.27677,0.467909
0.48,1.28357,0.467809
0.49,1.29041,0.467733
0.5,1.29729,0.467682
0.51,1.30421,0.467656
0.52,1.31116,0.467655
0.53,1.31815,0.467678
0.54,1.32517,0.467726
0.55,1.33224,0.4678
0.56,1.33934,0.467898
0.57,1.34647,0.468021
0.58,1.35364,0.468169
0.59,1.36085,0.468343
0.6,1.36809,0.468542
0.61,1.37537,0.468766
0.62,1.38268,0.469015
0.63,1.39003,0.46929
0.64,1.39742,0.469591
0.65,1.40483,0.469917
0.66,1.41229,0.470269
0.67,1.41977,0.470646
0.68,1.4273,0.47105
0.69,1.43485,0.471479
0.7,1.44244,0.471935
0.71,1.45006,0.472416
0.72,1.45772,0.472924
0.73,1.4654,0.473458
0.74,1.47312,0.474019
0.75,1.48088,0.474606
0.76,1.48866,0.475219
0.77,1.49648,0.475859
0.78,1.50432,0.476526
0.79,1.5122,0.47722
0.8,1.52011,0.477941
0.81,1.52804,0.478689
0.82,1.53601,0.479464
0.83,1.54401,0.480266
0.84,1.55203,0.481096
0.85,1.56009,0.481953
0.86,1.56817,0.482838
0.87,1.57628,0.483751
0.88,1.58441,0.484691
0.89,1.59258,0.485659
0.9,1.60077,0.486655
0.91,1.60898,0.487679
0.92,1.61722,0.488732
0.93,1.62549,0.489813
0.94,1.63378,0.490922
0.95,1.64209,0.49206
0.96,1.65043,0.493226
0.97,1.65878,0.494422
0.98,1.66716,0.495646
0.99,1.67557,0.496899
1,1.68399,0.498181
1.01,1.69243,0.499492
1.02,1.70089,0.500833
1.03,1.70938,0.502203
1.04,1.71788,0.503603
1.05,1.72639,0.505032
1.06,1.73493,0.50649
1.07,1.74348,0.507979
1.08,1.75204,0.509497
1.09,1.76063,0.511046
1.1,1.76922,0.512624
1.11,1.77783,0.514233
1.12,1.78645,0.515872
1.13,1.79508,0.517541
1.14,1.80373,0.519241
1.15,1.81238,0.520971
1.16,1.82105,0.522731
1.17,1.82972,0.524523
1.18,1.8384,0.526345
1.19,1.84709,0.528198
1.2,1.85578,0.530081
1.21,1.86448,0.531996
1.22,1.87318,0.533941
1.23,1.88189,0.535918
1.24,1.8906,0.537925
1.25,1.89931,0.539964
1.26,1.90802,0.542034
1.27,1.91673,0.544135
1.28,1.92544,0.546267
1.29,1.93415,0.54843
1.3,1.94285,0.550625
1.31,1.95155,0.55285
1.32,1.96025,0.555107
1.33,1.96894,0.557396
1.34,1.97762,0.559715
1.35,1.98629,0.562066
1.36,1.99495,0.564448
1.37,2.0036,0.566861
1.38,2.01224,0.569305
1.39,2.02087,0.57178
1.4,2.02948,0.574286
1.41,2.03808,0.576824
1.42,2.04666,0.579392
1.43,2.05523,0.581991
1.44,2.06377,0.58462
1.45,2.0723,0.58728
1.46,2.0808,0.589971
1.47,2.08929,0.592692
1.48,2.09774,0.595444
1.49,2.10618,0.598225
1.5,2.11459,0.601037
1.51,2.12297,0.603878
1.52,2.13132,0.60675
1.53,2.13965,0.60965
1.54,2.14794,0.61258
1.55,2.1562,0.615539
1.56,2.16443,0.618527
1.57,2.17263,0.621544
1.58,2.18079,0.624589
1.59,2.18891,0.627662
1.6,2.19699,0.630764
