x,y_actual,y_interpolated
-5,-1,3.90225
-4.9,-1,3.36014
-4.8,-1,2.85351
-4.7,-1,2.38109
-4.6,-1,1.94163
-4.5,-1,1.53392
-4.4,-1,1.15674
-4.3,-1,0.808914
-4.2,-1,0.489282
-4.1,-1,0.1967
-4,-1,-0.0699537
-3.9,-1,-0.31178
-3.8,-1,-0.529858
-3.7,-1,-0.725249
-3.6,-1,-0.898993
-3.5,-1,-1.05211
-3.4,-1,-1.18559
-3.3,-1,-1.30043
-3.2,-1,-1.39756
-3.1,-1,-1.47795
-3,-1,-1.54249
-2.9,-1,-1.59208
-2.8,-1,-1.62761
-2.7,-1,-1.64992
-2.6,-1,-1.65986
-2.5,-1,-1.65823
-2.4,-1,-1.64583
-2.3,-1,-1.62343
-2.2,-1,-1.59179
-2.1,-1,-1.55164
-2,-1,-1.50368
-1.9,-1,-1.44862
-1.8,-1,-1.38711
-1.7,-1,-1.31982
-1.6,-1,-1.24738
-1.5,-1,-1.17038
-1.4,-1,-1.08942
-1.3,-1,-1.00507
-1.2,-1,-0.917884
-1.1,-1,-0.828379
-1,-1,-0.737064
-0.9,-1,-0.644428
-0.8,-1,-0.550937
-0.7,-1,-0.457035
-0.6,-1,-0.363148
-0.5,-1,-0.26968
-0.4,-1,-0.177017
-0.3,-1,-0.0855208
-0.2,-1,0.00446457
-0.1,-1,0.0926165
-1.02696e-15,-1,0.178633
0.1,1,0.262232
0.2,1,0.343152
0.3,1,0.421152
0.4,1,0.496013
0.5,1,0.567534
0.6,1,0.635536
0.7,1,0.69986
0.8,1,0.760367
0.9,1,0.816941
1,1,0.869482
1.1,1,0.917915
1.2,1,0.962182
1.3,1,1.00225
1.4,1,1.0381
1.5,1,1.06974
1.6,1,1.09719
1.7,1,1.1205
1.8,1,1.13974
1.9,1,1.15498
2,1,1.16635
2.1,1,1.17397
2.2,1,1.17799
2.3,1,1.17857
2.4,1,1.1759
2.5,1,1.1702
2.6,1,1.16169
2.7,1,1.15063
2.8,1,1.13728
2.9,1,1.12194
3,1,1.10492
3.1,1,1.08655
3.2,1,1.06719
3.3,1,1.04721
3.4,1,1.02701
3.5,1,1.00699
3.6,1,0.98759
3.7,1,0.969273
3.8,1,0.952509
3.9,1,0.937797
4,1,0.925653
4.1,1,0.916614
4.2,1,0.911238
4.3,1,0.910104
4.4,1,0.913811
4.5,1,0.922978
4.6,1,0.938244
4.7,1,0.96027
4.8,1,0.989738
4.9,1,1.02735
5,1,1.07382
NEXT N
-5,-1,7.82771
-4.9,-1,4.53755
-4.8,-1,2.15639
-4.7,-1,0.495188
-4.6,-1,-0.605293
-4.5,-1,-1.27808
-4.4,-1,-1.63317
-4.3,-1,-1.76053
-4.2,-1,-1.73267
-4.1,-1,-1.60713
-4,-1,-1.42857
-3.9,-1,-1.2308
-3.8,-1,-1.03844
-3.7,-1,-0.868519
-3.6,-1,-0.731822
-3.5,-1,-0.634102
-3.4,-1,-0.577136
-3.3,-1,-0.559646
-3.2,-1,-0.578088
-3.1,-1,-0.627327
-3,-1,-0.701214
-2.9,-1,-0.793059
-2.8,-1,-0.896027
-2.7,-1,-1.00345
-2.6,-1,-1.10906
-2.5,-1,-1.20722
-2.4,-1,-1.29301
-2.3,-1,-1.36234
-2.2,-1,-1.41197
-2.1,-1,-1.43956
-2,-1,-1.44366
-1.9,-1,-1.42361
-1.8,-1,-1.37954
-1.7,-1,-1.3123
-1.6,-1,-1.22331
-1.5,-1,-1.11457
-1.4,-1,-0.988456
-1.3,-1,-0.847717
-1.2,-1,-0.695321
-1.1,-1,-0.534378
-1,-1,-0.368052
-0.9,-1,-0.199476
-0.8,-1,-0.0316758
-0.7,-1,0.132498
-0.6,-1,0.290428
-0.5,-1,0.439779
-0.4,-1,0.578538
-0.3,-1,0.705041
-0.2,-1,0.817998
-0.1,-1,0.916495
-1.02696e-15,-1,1
0.1,1,1.06835
0.2,1,1.12174
0.3,1,1.16069
0.4,1,1.18603
0.5,1,1.19884
0.6,1,1.20043
0.7,1,1.19228
0.8,1,1.176
0.9,1,1.15331
1,1,1.12592
1.1,1,1.09554
1.2,1,1.06384
1.3,1,1.03235
1.4,1,1.00247
1.5,1,0.97543
1.6,1,0.952234
1.7,1,0.933665
1.8,1,0.920251
1.9,1,0.912268
2,1,0.909735
2.1,1,0.91242
2.2,1,0.919859
2.3,1,0.931379
2.4,1,0.946129
2.5,1,0.963118
2.6,1,0.981261
2.7,1,0.99943
2.8,1,1.01651
2.9,1,1.03144
3,1,1.0433
3.1,1,1.05136
3.2,1,1.05508
3.3,1,1.05426
3.4,1,1.04897
3.5,1,1.03964
3.6,1,1.02704
3.7,1,1.01226
3.8,1,0.996705
3.9,1,0.981966
4,1,0.969758
4.1,1,0.961752
4.2,1,0.959373
4.3,1,0.963552
4.4,1,0.974402
4.5,1,0.990833
4.6,1,1.01008
4.7,1,1.02716
4.8,1,1.0342
4.9,1,1.01969
5,1,0.967593
NEXT N
-5,-1,-13.9801
-4.9,-1,-5.19081
-4.8,-1,-1.316
-4.7,-1,-0.0888177
-4.6,-1,-0.10876
-4.5,-1,-0.566217
-4.4,-1,-1.03997
-4.3,-1,-1.35162
-4.2,-1,-1.46376
-4.1,-1,-1.41124
-4,-1,-1.25699
-3.9,-1,-1.06553
-3.8,-1,-0.889047
-3.7,-1,-0.761758
-3.6,-1,-0.699607
-3.5,-1,-0.703038
-3.4,-1,-0.761173
-3.3,-1,-0.856355
-3.2,-1,-0.968319
-3.1,-1,-1.07761
-3,-1,-1.16806
-2.9,-1,-1.2283
-2.8,-1,-1.25241
-2.7,-1,-1.23977
-2.6,-1,-1.19445
-2.5,-1,-1.12408
-2.4,-1,-1.03865
-2.3,-1,-0.949155
-2.2,-1,-0.86638
-2.1,-1,-0.799798
-2,-1,-0.756748
-1.9,-1,-0.741873
-1.8,-1,-0.756831
-1.7,-1,-0.800298
-1.6,-1,-0.868195
-1.5,-1,-0.954129
-1.4,-1,-1.04997
-1.3,-1,-1.14654
-1.2,-1,-1.23432
-1.1,-1,-1.30414
-1,-1,-1.34784
-0.9,-1,-1.35882
-0.8,-1,-1.3324
-0.7,-1,-1.26617
-0.6,-1,-1.16002
-0.5,-1,-1.01617
-0.4,-1,-0.838931
-0.3,-1,-0.634441
-0.2,-1,-0.41023
-0.1,-1,-0.174759
-1.02696e-15,-1,0.0631063
0.1,1,0.294612
0.2,1,0.511616
0.3,1,0.70703
0.4,1,0.875187
0.5,1,1.0121
0.6,1,1.11564
0.7,1,1.18555
0.8,1,1.22336
0.9,1,1.23226
1,1,1.21674
1.1,1,1.1823
1.2,1,1.13502
1.3,1,1.08112
1.4,1,1.02656
1.5,1,0.976616
1.6,1,0.935594
1.7,1,0.906537
1.8,1,0.891092
1.9,1,0.889469
2,1,0.900508
2.1,1,0.921867
2.2,1,0.950296
2.3,1,0.981995
2.4,1,1.01301
2.5,1,1.03966
2.6,1,1.05893
2.7,1,1.06877
2.8,1,1.06839
2.9,1,1.05832
3,1,1.04039
3.1,1,1.0175
3.2,1,0.993314
3.3,1,0.971716
3.4,1,0.956278
3.5,1,0.949651
3.6,1,0.953043
3.7,1,0.965842
3.8,1,0.985497
3.9,1,1.00775
4,1,1.02729
4.1,1,1.03878
4.2,1,1.03834
4.3,1,1.02506
4.4,1,1.0024
4.5,1,0.978672
4.6,1,0.965735
4.7,1,0.974542
4.8,1,1.00557
4.9,1,1.03159
5,1,0.969272
NEXT N
-5,-1,-17.9787
-4.9,-1,-2.36533
-4.8,-1,0.264232
-4.7,-1,-0.542005
-4.6,-1,-1.38155
-4.5,-1,-1.54657
-4.4,-1,-1.26329
-4.3,-1,-0.899061
-4.2,-1,-0.684056
-4.1,-1,-0.676751
-4,-1,-0.821001
-3.9,-1,-1.0176
-3.8,-1,-1.1777
-3.7,-1,-1.24998
-3.6,-1,-1.22549
-3.5,-1,-1.1281
-3.4,-1,-0.998873
-3.3,-1,-0.880379
-3.2,-1,-0.805023
-3.1,-1,-0.788799
-3,-1,-0.830398
-2.9,-1,-0.914459
-2.8,-1,-1.01726
-2.7,-1,-1.11314
-2.6,-1,-1.18028
-2.5,-1,-1.20479
-2.4,-1,-1.18271
-2.3,-1,-1.11988
-2.2,-1,-1.03007
-2.1,-1,-0.931832
-2,-1,-0.844888
-1.9,-1,-0.786565
-1.8,-1,-0.768903
-1.7,-1,-0.796765
-1.6,-1,-0.867149
-1.5,-1,-0.9697
-1.4,-1,-1.08824
-1.3,-1,-1.20303
-1.2,-1,-1.29346
-1.1,-1,-1.34072
-1,-1,-1.33013
-0.9,-1,-1.25294
-0.8,-1,-1.10726
-0.7,-1,-0.898265
-0.6,-1,-0.637417
-0.5,-1,-0.341145
-0.4,-1,-0.0289387
-0.3,-1,0.278784
-0.2,-1,0.562818
-0.1,-1,0.807064
-1.02696e-15,-1,1
0.1,1,1.13556
0.2,1,1.21336
0.3,1,1.23833
0.4,1,1.21975
0.5,1,1.16989
0.6,1,1.10238
0.7,1,1.03062
0.8,1,0.966247
0.9,1,0.917989
1,1,0.890942
1.1,1,0.886343
1.2,1,0.901867
1.3,1,0.932351
1.4,1,0.970855
1.5,1,1.00988
1.6,1,1.04258
1.7,1,1.06383
1.8,1,1.0709
1.9,1,1.06378
2,1,1.04503
2.1,1,1.01918
2.2,1,0.991821
2.3,1,0.968546
2.4,1,0.953866
2.5,1,0.95035
2.6,1,0.95813
2.7,1,0.974888
2.8,1,0.996348
2.9,1,1.01721
3,1,1.03236
3.1,1,1.03811
3.2,1,1.03316
3.3,1,1.01911
3.4,1,1.00017
3.5,1,0.982149
3.6,1,0.970856
3.7,1,0.970193
3.8,1,0.980575
3.9,1,0.998249
4,1,1.01607
4.1,1,1.02591
4.2,1,1.02232
4.3,1,1.00618
4.4,1,0.98631
4.5,1,0.976586
4.6,1,0.987104
4.7,1,1.01139
4.8,1,1.02031
4.9,1,0.989924
5,1,1.02023
NEXT N
