x,y_actual,y_interpolated
-5,1.38879e-11,1.38879e-11
-4.9,3.73757e-11,-0.112136
-4.8,9.85951e-11,-0.20987
-4.7,2.54938e-10,-0.293945
-4.6,6.46143e-10,-0.36509
-4.5,1.60523e-09,-0.424015
-4.4,3.90894e-09,-0.47142
-4.3,9.33029e-09,-0.507984
-4.2,2.18296e-08,-0.534376
-4.1,5.00622e-08,-0.551245
-4,1.12535e-07,-0.559228
-3.9,2.4796e-07,-0.558945
-3.8,5.35535e-07,-0.551001
-3.7,1.13373e-06,-0.535986
-3.6,2.35258e-06,-0.514475
-3.5,4.78512e-06,-0.487027
-3.4,9.54016e-06,-0.454186
-3.3,1.86437e-05,-0.416479
-3.2,3.57128e-05,-0.374422
-3.1,6.70548e-05,-0.32851
-3,0.00012341,-0.279228
-2.9,0.00022263,-0.227042
-2.8,0.000393669,-0.172404
-2.7,0.000682328,-0.115751
-2.6,0.00115923,-0.0575042
-2.5,0.00193045,0.00193045
-2.4,0.00315111,0.0621622
-2.3,0.00504176,0.122816
-2.2,0.00790705,0.183531
-2.1,0.0121552,0.243964
-2,0.0183156,0.303784
-1.9,0.0270518,0.362677
-1.8,0.0391639,0.420346
-1.7,0.0555762,0.476506
-1.6,0.0773047,0.530889
-1.5,0.105399,0.583243
-1.4,0.140858,0.63333
-1.3,0.18452,0.680928
-1.2,0.236928,0.72583
-1.1,0.298197,0.767844
-1,0.367879,0.806795
-0.9,0.444858,0.842522
-0.8,0.527292,0.874878
-0.7,0.612626,0.903734
-0.6,0.697676,0.928976
-0.5,0.778801,0.950502
-0.4,0.852144,0.968229
-0.3,0.913931,0.982089
-0.2,0.960789,0.992027
-0.1,0.99005,0.998005
-1.02696e-15,1,1
0.1,0.99005,0.998005
0.2,0.960789,0.992027
0.3,0.913931,0.982089
0.4,0.852144,0.968229
0.5,0.778801,0.950502
0.6,0.697676,0.928976
0.7,0.612626,0.903734
0.8,0.527292,0.874878
0.9,0.444858,0.842522
1,0.367879,0.806795
1.1,0.298197,0.767844
1.2,0.236928,0.72583
1.3,0.18452,0.680928
1.4,0.140858,0.63333
1.5,0.105399,0.583243
