x_interp	 y_inter	 y_deriv2	
-5	 -0.839072	 0	
-4.9	 -0.793612	 -0.000529119	
-4.8	 -0.748158	 -0.00105824	
-4.7	 -0.702714	 -0.00158736	
-4.6	 -0.657286	 -0.00211648	
-4.5	 -0.611879	 -0.0026456	
-4.4	 -0.566499	 -0.00317471	
-4.3	 -0.52115	 -0.00370383	
-4.2	 -0.475839	 -0.00423295	
-4.1	 -0.43057	 -0.00476207	
-4	 -0.385348	 -0.00529119	
-3.9	 -0.34018	 -0.00582031	
-3.8	 -0.295069	 -0.00634943	
-3.7	 -0.250022	 -0.00687855	
-3.6	 -0.205044	 -0.00740767	
-3.5	 -0.16014	 -0.00793679	
-3.4	 -0.115315	 -0.0084659	
-3.3	 -0.0705754	 -0.00899502	
-3.2	 -0.0259253	 -0.00952414	
-3.1	 0.0186295	 -0.0100533	
-3	 0.0630838	 -0.0105824	
-2.9	 0.107432	 -0.0111115	
-2.8	 0.15167	 -0.0116406	
-2.7	 0.195791	 -0.0121697	
-2.6	 0.23979	 -0.0126989	
-2.5	 0.283662	 -0.013228	
-2.4	 0.327381	 -0.026188	
-2.3	 0.370839	 -0.039148	
-2.2	 0.413905	 -0.052108	
-2.1	 0.45645	 -0.065068	
-2	 0.498344	 -0.078028	
-1.9	 0.539458	 -0.090988	
-1.8	 0.579662	 -0.103948	
-1.7	 0.618826	 -0.116908	
-1.6	 0.656822	 -0.129868	
-1.5	 0.693518	 -0.142828	
-1.4	 0.728787	 -0.155788	
-1.3	 0.762497	 -0.168748	
-1.2	 0.794521	 -0.181708	
-1.1	 0.824727	 -0.194668	
-1	 0.852986	 -0.207628	
-0.9	 0.879169	 -0.220588	
-0.8	 0.903146	 -0.233548	
-0.7	 0.924788	 -0.246508	
-0.6	 0.943965	 -0.259468	
-0.5	 0.960546	 -0.272428	
-0.4	 0.974404	 -0.285388	
-0.3	 0.985408	 -0.298348	
-0.2	 0.993428	 -0.311308	
-0.1	 0.998335	 -0.324268	
-1.02696e-15	 1	 -0.337228	
0.1	 0.998335	 -0.324268	
0.2	 0.993428	 -0.311308	
0.3	 0.985408	 -0.298348	
0.4	 0.974404	 -0.285388	
0.5	 0.960546	 -0.272428	
0.6	 0.943965	 -0.259468	
0.7	 0.924788	 -0.246508	
0.8	 0.903146	 -0.233548	
0.9	 0.879169	 -0.220588	
1	 0.852986	 -0.207628	
1.1	 0.824727	 -0.194668	
1.2	 0.794521	 -0.181708	
1.3	 0.762497	 -0.168748	
1.4	 0.728787	 -0.155788	
1.5	 0.693518	 -0.142828	
1.6	 0.656822	 -0.129868	
1.7	 0.618826	 -0.116908	
1.8	 0.579662	 -0.103948	
1.9	 0.539458	 -0.090988	
2	 0.498344	 -0.078028	
2.1	 0.45645	 -0.065068	
2.2	 0.413905	 -0.052108	
2.3	 0.370839	 -0.039148	
2.4	 0.327381	 -0.026188	
2.5	 0.283662	 -0.013228	
2.6	 0.23979	 -0.0126989	
2.7	 0.195791	 -0.0121697	
2.8	 0.15167	 -0.0116406	
2.9	 0.107432	 -0.0111115	
3	 0.0630838	 -0.0105824	
3.1	 0.0186295	 -0.0100533	
3.2	 -0.0259253	 -0.00952414	
3.3	 -0.0705754	 -0.00899502	
3.4	 -0.115315	 -0.0084659	
3.5	 -0.16014	 -0.00793679	
3.6	 -0.205044	 -0.00740767	
3.7	 -0.250022	 -0.00687855	
3.8	 -0.295069	 -0.00634943	
3.9	 -0.34018	 -0.00582031	
4	 -0.385348	 -0.00529119	
4.1	 -0.43057	 -0.00476207	
4.2	 -0.475839	 -0.00423295	
4.3	 -0.52115	 -0.00370383	
4.4	 -0.566499	 -0.00317471	
4.5	 -0.611879	 -0.0026456	
4.6	 -0.657286	 -0.00211648	
4.7	 -0.702714	 -0.00158736	
4.8	 -0.748158	 -0.00105824	
4.9	 -0.793612	 -0.000529119	
5	 -0.839072	 -1.38778e-17	
