x_interp	 y_inter	 y_deriv2	
-5	 1.38879e-11	 0	
-4.9	 1.6407e-08	 -3.59754e-07	
-4.8	 2.92026e-08	 -7.19507e-07	
-4.7	 3.48031e-08	 -1.07926e-06	
-4.6	 2.9611e-08	 -1.43901e-06	
-4.5	 1.00288e-08	 -1.79877e-06	
-4.4	 -2.56438e-08	 -6.18379e-08	
-4.3	 -6.18484e-08	 2.42391e-06	
-4.2	 -7.38139e-08	 4.90965e-06	
-4.1	 -3.66829e-08	 7.3954e-06	
-4	 7.44021e-08	 9.88115e-06	
-3.9	 2.87816e-07	 2.17718e-05	
-3.8	 7.23772e-07	 4.41123e-05	
-3.7	 1.60085e-06	 6.64529e-05	
-3.6	 3.14246e-06	 8.87934e-05	
-3.5	 5.572e-06	 0.000111134	
-3.4	 9.12424e-06	 0.000287258	
-3.3	 1.61481e-05	 0.00104007	
-3.2	 3.35727e-05	 0.00179288	
-3.1	 6.8926e-05	 0.00254569	
-3	 0.000129736	 0.0032985	
-2.9	 0.000223531	 0.00405131	
-2.8	 0.000369966	 0.0129105	
-2.7	 0.000645506	 0.02222	
-2.6	 0.00114325	 0.0315295	
-2.5	 0.00195628	 0.040839	
-2.4	 0.00317771	 0.0501486	
-2.3	 0.00492653	 0.092665	
-2.2	 0.00760455	 0.150508	
-2.1	 0.0117876	 0.208351	
-2	 0.0180543	 0.266193	
-1.9	 0.0269828	 0.324036	
-1.8	 0.0391591	 0.406984	
-1.7	 0.0554245	 0.524451	
-1.6	 0.0769345	 0.641918	
-1.5	 0.104864	 0.759385	
-1.4	 0.140387	 0.876852	
-1.3	 0.184677	 0.958827	
-1.2	 0.238331	 0.851513	
-1.1	 0.300501	 0.744199	
-1	 0.370113	 0.636885	
-0.9	 0.446093	 0.529571	
-0.8	 0.527369	 0.422257	
-0.7	 0.612494	 0.0348298	
-0.6	 0.697967	 -0.385552	
-0.5	 0.779584	 -0.805933	
-0.4	 0.853142	 -1.22631	
-0.3	 0.914437	 -1.6467	
-0.2	 0.959441	 -1.80157	
-0.1	 0.986465	 -1.80157	
-1.02696e-15	 0.995473	 -1.80157	
0.1	 0.986465	 -1.80157	
0.2	 0.959441	 -1.80157	
0.3	 0.914437	 -1.6467	
0.4	 0.853142	 -1.22631	
0.5	 0.779584	 -0.805933	
0.6	 0.697967	 -0.385552	
0.7	 0.612494	 0.0348298	
0.8	 0.527369	 0.422257	
0.9	 0.446093	 0.529571	
1	 0.370113	 0.636885	
1.1	 0.300501	 0.744199	
1.2	 0.238331	 0.851513	
1.3	 0.184677	 0.958827	
1.4	 0.140387	 0.876852	
1.5	 0.104864	 0.759385	
1.6	 0.0769345	 0.641918	
1.7	 0.0554245	 0.524451	
1.8	 0.0391591	 0.406984	
1.9	 0.0269828	 0.324036	
2	 0.0180543	 0.266193	
2.1	 0.0117876	 0.208351	
2.2	 0.00760455	 0.150508	
2.3	 0.00492653	 0.092665	
2.4	 0.00317771	 0.0501486	
2.5	 0.00195628	 0.040839	
2.6	 0.00114325	 0.0315295	
2.7	 0.000645506	 0.02222	
2.8	 0.000369966	 0.0129105	
2.9	 0.000223531	 0.00405131	
3	 0.000129736	 0.0032985	
3.1	 6.8926e-05	 0.00254569	
3.2	 3.35727e-05	 0.00179288	
3.3	 1.61481e-05	 0.00104007	
3.4	 9.12424e-06	 0.000287258	
3.5	 5.572e-06	 0.000111134	
3.6	 3.14246e-06	 8.87934e-05	
3.7	 1.60085e-06	 6.64529e-05	
3.8	 7.23772e-07	 4.41123e-05	
3.9	 2.87816e-07	 2.17718e-05	
4	 7.44021e-08	 9.88115e-06	
4.1	 -3.66829e-08	 7.3954e-06	
4.2	 -7.38139e-08	 4.90965e-06	
4.3	 -6.18484e-08	 2.42391e-06	
4.4	 -2.56438e-08	 -6.18379e-08	
4.5	 1.00288e-08	 -1.79877e-06	
4.6	 2.9611e-08	 -1.43901e-06	
4.7	 3.48031e-08	 -1.07926e-06	
4.8	 2.92026e-08	 -7.19507e-07	
4.9	 1.6407e-08	 -3.59754e-07	
5	 1.38879e-11	 -9.52912e-21	
