x_interp	 y_inter	 y_deriv2	
-5	 -1	 0	
-4.9	 -1	 7.43046e-05	
-4.8	 -1.00001	 0.000148609	
-4.7	 -1.00001	 0.000222914	
-4.6	 -1.00001	 0.000297219	
-4.5	 -1	 0.000371523	
-4.4	 -0.999994	 0.000117323	
-4.3	 -0.999985	 -0.0002542	
-4.2	 -0.999979	 -0.000625723	
-4.1	 -0.999979	 -0.000997247	
-4	 -0.999989	 -0.00136877	
-3.9	 -1.00001	 -0.000895567	
-3.8	 -1.00004	 0.000516222	
-3.7	 -1.00007	 0.00192801	
-3.6	 -1.00008	 0.0033398	
-3.5	 -1.00005	 0.00475159	
-3.4	 -0.99998	 0.0047555	
-3.3	 -0.999865	 -0.000520133	
-3.2	 -0.999754	 -0.00579576	
-3.1	 -0.999702	 -0.0110714	
-3	 -0.999761	 -0.016347	
-2.9	 -0.999983	 -0.0216227	
-2.8	 -1.00039	 -0.00324594	
-2.7	 -1.00082	 0.0164448	
-2.6	 -1.00109	 0.0361355	
-2.5	 -1.001	 0.0558263	
-2.4	 -1.00035	 0.075517	
-2.3	 -0.998998	 0.0314543	
-2.2	 -0.997334	 -0.042033	
-2.1	 -0.996091	 -0.11552	
-2	 -0.996003	 -0.189008	
-1.9	 -0.997804	 -0.262495	
-1.8	 -1.00219	 -0.189563	
-1.7	 -1.00835	 0.0846956	
-1.6	 -1.01367	 0.358954	
-1.5	 -1.0154	 0.633212	
-1.4	 -1.0108	 0.907471	
-1.3	 -0.997134	 0.976813	
-1.2	 -0.974989	 -0.0467337	
-1.1	 -0.953312	 -1.07028	
-1	 -0.942337	 -2.09383	
-0.9	 -0.952301	 -3.11737	
-0.8	 -0.993438	 -4.14092	
-0.7	 -1.0702	 -0.830832	
-0.6	 -1.15527	 2.9891	
-0.5	 -1.21044	 6.80902	
-0.4	 -1.19752	 10.629	
-0.3	 -1.07831	 14.4489	
-0.2	 -0.818751	 12.0507	
-0.1	 -0.439503	 6.02536	
-1.02696e-15	 -2.44249e-15	 3.37508e-14	
0.1	 0.439503	 -6.02536	
0.2	 0.818751	 -12.0507	
0.3	 1.07831	 -14.4489	
0.4	 1.19752	 -10.629	
0.5	 1.21044	 -6.80902	
0.6	 1.15527	 -2.9891	
0.7	 1.0702	 0.830832	
0.8	 0.993438	 4.14092	
0.9	 0.952301	 3.11737	
1	 0.942337	 2.09383	
1.1	 0.953312	 1.07028	
1.2	 0.974989	 0.0467337	
1.3	 0.997134	 -0.976813	
1.4	 1.0108	 -0.907471	
1.5	 1.0154	 -0.633212	
1.6	 1.01367	 -0.358954	
1.7	 1.00835	 -0.0846956	
1.8	 1.00219	 0.189563	
1.9	 0.997804	 0.262495	
2	 0.996003	 0.189008	
2.1	 0.996091	 0.11552	
2.2	 0.997334	 0.042033	
2.3	 0.998998	 -0.0314543	
2.4	 1.00035	 -0.075517	
2.5	 1.001	 -0.0558263	
2.6	 1.00109	 -0.0361355	
2.7	 1.00082	 -0.0164448	
2.8	 1.00039	 0.00324594	
2.9	 0.999983	 0.0216227	
3	 0.999761	 0.016347	
3.1	 0.999702	 0.0110714	
3.2	 0.999754	 0.00579576	
3.3	 0.999865	 0.000520133	
3.4	 0.99998	 -0.0047555	
3.5	 1.00005	 -0.00475159	
3.6	 1.00008	 -0.0033398	
3.7	 1.00007	 -0.00192801	
3.8	 1.00004	 -0.000516222	
3.9	 1.00001	 0.000895567	
4	 0.999989	 0.00136877	
4.1	 0.999979	 0.000997247	
4.2	 0.999979	 0.000625723	
4.3	 0.999985	 0.0002542	
4.4	 0.999994	 -0.000117323	
4.5	 1	 -0.000371523	
4.6	 1.00001	 -0.000297219	
4.7	 1.00001	 -0.000222914	
4.8	 1.00001	 -0.000148609	
4.9	 1	 -7.43046e-05	
5	 1	 -1.95156e-18	
