angle	range
1	2967.83
1.5	4262.44
2	5455.68
2.5	6561.43
3	7592.57
3.5	8556.99
4	9464.57
4.5	10321.2
5	11132.8
5.5	11903.2
6	12637.4
6.5	13338.3
7	14010.6
7.5	14655.5
8	15275.7
8.5	15874.2
9	16452
9.5	17010.8
10	17552.7
10.5	18077.7
11	18588.5
11.5	19086.2
12	19570.6
12.5	20042.9
13	20504.7
13.5	20956.2
14	21397.3
14.5	21829.9
15	22253.9
15.5	22670.4
16	23079.2
16.5	23480.5
17	23875
17.5	24263.8
18	24645.9
18.5	25023.1
19	25394.5
19.5	25760.1
20	26121.7
20.5	26477.6
21	26829.5
21.5	27177.3
22	27520.3
22.5	27859.2
23	28195
23.5	28525.9
24	28853.7
24.5	29177.4
25	29498
25.5	29814.5
26	30127.9
26.5	30438
27	30744.1
27.5	31047
28	31346.7
28.5	31643.1
29	31936.1
29.5	32225.2
30	32511
30.5	32793.4
31	33072.5
31.5	33348.1
32	33619.6
32.5	33887.6
33	34152
33.5	34411.6
34	34668.2
34.5	34919.8
35	35167.7
35.5	35411.1
36	35649.9
36.5	35884.2
37	36113.2
37.5	36337.5
38	36556.9
38.5	36770.2
39	36978.4
39.5	37180.9
40	37377.1
40.5	37567.3
41	37751.4
41.5	37928.8
42	38098.8
42.5	38262.4
43	38418.3
43.5	38566.4
44	38706.6
44.5	38839.3
45	38963.2
45.5	39078.2
46	39184.7
46.5	39282.1
47	39369.5
47.5	39447.5
48	39515.3
48.5	39573.2
49	39620.2
49.5	39656.5
50	39681.5
50.5	39695.1
51	39697
51.5	39686.7
52	39664.9
52.5	39630.1
53	39582.6
53.5	39522.7
54	39449.3
54.5	39362.8
55	39262.1
55.5	39148.5
56	39020.4
56.5	38878.3
57	38721.9
57.5	38551.3
58	38365.8
58.5	38165.5
59	37950.9
59.5	37721
60	37476.3
60.5	37216.4
61	36941.4
61.5	36651.4
62	36346.3
62.5	36025.8
63	35690.4
63.5	35339.8
64	34973.9
64.5	34593.1
65	34197.1
65.5	33786.7
66	33361.2
66.5	32921
67	32466.2
67.5	31996.9
68	31513.4
68.5	31015.7
69	30504.1
69.5	29978.7
70	29439.6
70.5	28887.4
71	28321.8
71.5	27743.6
72	27152.3
72.5	26548.8
73	25932.9
73.5	25305.3
74	24666
74.5	24015.2
75	23353.5
75.5	22680.8
76	21997.7
76.5	21304.3
77	20601.2
77.5	19888.5
78	19166.5
78.5	18435.6
79	17696
79.5	16948.3
80	16192.6
80.5	15429.5
81	14659
81.5	13881.7
82	13097.9
82.5	12307.8
83	11512
83.5	10710.6
84	9904.14
84.5	9092.78
85	8276.98
85.5	7456.96
86	6633
86.5	5805.22
87	4973.73
87.5	4138.27
88	3297.95
88.5	2450.15
89	1585.08
89.5	623.572
90	129.486
