x	y
0	1e-05
0.632709	0.7744
1.26542	1.54878
1.89814	2.32317
2.53087	3.09754
3.1636	3.87192
3.79633	4.64628
4.42907	5.42065
5.06182	6.19501
5.69457	6.96936
6.32733	7.74371
6.96009	8.51806
7.59285	9.2924
8.22563	10.0667
8.8584	10.8411
9.49119	11.6154
10.124	12.3897
10.7568	13.1641
11.3896	13.9384
12.0224	14.7127
12.6552	15.487
13.288	16.2613
13.9208	17.0356
14.5536	17.8099
15.1865	18.5842
15.8193	19.3585
16.4521	20.1327
17.085	20.907
17.7178	21.6813
18.3507	22.4556
18.9836	23.2298
19.6164	24.0041
20.2493	24.7784
20.8822	25.5526
21.515	26.3269
22.1479	27.1011
22.7808	27.8753
23.4137	28.6496
24.0466	29.4238
24.6795	30.198
25.3125	30.9723
25.9454	31.7465
26.5783	32.5207
27.2112	33.2949
27.8442	34.0691
28.4771	34.8433
29.11	35.6175
29.743	36.3917
30.376	37.1659
31.0089	37.9401
31.6419	38.7142
32.2748	39.4884
32.9078	40.2626
33.5408	41.0368
34.1738	41.8109
34.8068	42.5851
35.4398	43.3592
36.0728	44.1334
36.7058	44.9075
37.3388	45.6817
37.9718	46.4558
38.6049	47.2299
39.2379	48.0041
39.8709	48.7782
40.504	49.5523
41.137	50.3264
41.7701	51.1005
42.4031	51.8746
43.0362	52.6487
43.6692	53.4228
44.3023	54.1969
44.9354	54.971
45.5685	55.7451
46.2016	56.5192
46.8347	57.2933
47.4677	58.0673
48.1009	58.8414
48.734	59.6155
49.3671	60.3895
50.0002	61.1636
50.6333	61.9376
51.2664	62.7117
51.8996	63.4857
52.5327	64.2597
53.1659	65.0338
53.799	65.8078
54.4322	66.5818
55.0653	67.3558
55.6985	68.1299
56.3317	68.9039
56.9649	69.6779
57.598	70.4519
58.2312	71.2259
58.8644	71.9999
59.4976	72.7739
60.1308	73.5478
60.764	74.3218
61.3972	75.0958
62.0305	75.8698
62.6637	76.6437
63.2969	77.4177
63.9302	78.1917
64.5634	78.9656
65.1966	79.7396
65.8299	80.5135
66.4631	81.2875
67.0964	82.0614
67.7297	82.8353
68.363	83.6093
68.9962	84.3832
69.6295	85.1571
70.2628	85.931
70.8961	86.7049
71.5294	87.4788
72.1627	88.2527
72.796	89.0266
73.4293	89.8005
74.0626	90.5744
74.696	91.3483
75.3293	92.1222
75.9626	92.8961
76.596	93.6699
77.2293	94.4438
77.8627	95.2177
78.496	95.9915
79.1294	96.7654
79.7628	97.5392
80.3961	98.3131
81.0295	99.0869
81.6629	99.8608
82.2963	100.635
82.9297	101.408
83.5631	102.182
84.1965	102.956
84.8299	103.73
85.4633	104.504
86.0967	105.278
86.7302	106.051
87.3636	106.825
87.997	107.599
88.6305	108.373
89.2639	109.146
89.8974	109.92
90.5308	110.694
91.1643	111.468
91.7978	112.242
92.4312	113.015
93.0647	113.789
93.6982	114.563
94.3317	115.337
94.9652	116.11
95.5987	116.884
96.2322	117.658
96.8657	118.432
97.4992	119.205
98.1328	119.979
98.7663	120.753
99.3998	121.526
100.033	122.3
100.667	123.074
101.3	123.848
101.934	124.621
102.568	125.395
103.201	126.169
103.835	126.942
104.468	127.716
105.102	128.49
105.735	129.263
106.369	130.037
107.003	130.811
107.636	131.584
108.27	132.358
108.903	133.132
109.537	133.905
110.171	134.679
110.804	135.453
111.438	136.226
112.072	137
112.705	137.773
113.339	138.547
113.973	139.321
114.606	140.094
115.24	140.868
115.874	141.642
116.507	142.415
117.141	143.189
117.775	143.962
118.408	144.736
119.042	145.509
119.676	146.283
120.309	147.057
120.943	147.83
121.577	148.604
122.211	149.377
122.844	150.151
123.478	150.924
124.112	151.698
124.746	152.471
125.379	153.245
126.013	154.019
126.647	154.792
127.281	155.566
127.914	156.339
128.548	157.113
129.182	157.886
129.816	158.66
130.449	159.433
131.083	160.207
131.717	160.98
132.351	161.754
132.985	162.527
133.619	163.301
134.252	164.074
134.886	164.848
135.52	165.621
136.154	166.394
136.788	167.168
137.422	167.941
138.055	168.715
138.689	169.488
139.323	170.262
139.957	171.035
140.591	171.809
141.225	172.582
141.859	173.355
142.493	174.129
143.127	174.902
143.76	175.676
144.394	176.449
145.028	177.222
145.662	177.996
146.296	178.769
146.93	179.543
147.564	180.316
148.198	181.089
148.832	181.863
149.466	182.636
150.1	183.41
150.734	184.183
151.368	184.956
152.002	185.73
152.636	186.503
153.27	187.276
153.904	188.05
154.538	188.823
155.172	189.596
155.806	190.37
156.44	191.143
157.074	191.916
157.708	192.69
158.342	193.463
158.976	194.236
159.61	195.009
160.244	195.783
160.878	196.556
161.512	197.329
162.146	198.103
162.78	198.876
163.414	199.649
164.048	200.422
164.682	201.196
165.316	201.969
165.951	202.742
166.585	203.515
167.219	204.289
167.853	205.062
168.487	205.835
169.121	206.608
169.755	207.382
170.389	208.155
171.024	208.928
171.658	209.701
172.292	210.474
172.926	211.248
173.56	212.021
174.194	212.794
174.828	213.567
175.463	214.34
176.097	215.114
176.731	215.887
177.365	216.66
177.999	217.433
178.634	218.206
179.268	218.98
179.902	219.753
180.536	220.526
181.17	221.299
181.805	222.072
182.439	222.845
183.073	223.618
183.707	224.392
184.342	225.165
184.976	225.938
185.61	226.711
186.244	227.484
186.879	228.257
187.513	229.03
188.147	229.803
188.782	230.576
189.416	231.349
190.05	232.123
190.685	232.896
191.319	233.669
191.953	234.442
192.587	235.215
193.222	235.988
193.856	236.761
194.49	237.534
195.125	238.307
195.759	239.08
196.394	239.853
197.028	240.626
197.662	241.399
198.297	242.172
198.931	242.945
199.565	243.718
200.2	244.491
200.834	245.264
201.469	246.037
202.103	246.81
202.737	247.583
203.372	248.356
204.006	249.129
204.641	249.902
205.275	250.675
205.91	251.448
206.544	252.221
207.178	252.994
207.813	253.767
208.447	254.54
209.082	255.313
209.716	256.086
210.351	256.859
210.985	257.632
211.62	258.405
212.254	259.178
212.889	259.951
213.523	260.724
214.158	261.497
214.792	262.269
215.427	263.042
216.061	263.815
216.696	264.588
217.33	265.361
217.965	266.134
218.599	266.907
219.234	267.68
219.868	268.453
220.503	269.225
221.138	269.998
221.772	270.771
222.407	271.544
223.041	272.317
223.676	273.09
224.311	273.863
224.945	274.635
225.58	275.408
226.214	276.181
226.849	276.954
227.484	277.727
228.118	278.5
228.753	279.272
229.387	280.045
230.022	280.818
230.657	281.591
231.291	282.364
231.926	283.136
232.561	283.909
233.195	284.682
233.83	285.455
234.465	286.228
235.099	287
235.734	287.773
236.369	288.546
237.004	289.319
237.638	290.091
238.273	290.864
238.908	291.637
239.542	292.41
240.177	293.182
240.812	293.955
241.447	294.728
242.081	295.5
242.716	296.273
243.351	297.046
243.986	297.819
244.62	298.591
245.255	299.364
245.89	300.137
246.525	300.909
247.16	301.682
247.794	302.455
248.429	303.227
249.064	304
249.699	304.773
250.334	305.545
250.968	306.318
251.603	307.091
252.238	307.863
252.873	308.636
253.508	309.409
254.143	310.181
254.778	310.954
255.412	311.727
256.047	312.499
256.682	313.272
257.317	314.044
257.952	314.817
258.587	315.59
259.222	316.362
259.857	317.135
260.491	317.907
261.126	318.68
261.761	319.453
262.396	320.225
263.031	320.998
263.666	321.77
264.301	322.543
264.936	323.315
265.571	324.088
266.206	324.86
266.841	325.633
267.476	326.406
268.111	327.178
268.746	327.951
269.381	328.723
270.016	329.496
270.651	330.268
271.286	331.041
271.921	331.813
272.556	332.586
273.191	333.358
273.826	334.131
274.461	334.903
275.096	335.676
275.731	336.448
276.366	337.221
277.001	337.993
277.636	338.766
278.271	339.538
278.906	340.31
279.541	341.083
280.176	341.855
280.811	342.628
281.446	343.4
282.082	344.173
282.717	344.945
283.352	345.718
283.987	346.49
284.622	347.262
285.257	348.035
285.892	348.807
286.527	349.58
287.162	350.352
287.798	351.124
288.433	351.897
289.068	352.669
289.703	353.442
290.338	354.214
290.973	354.986
291.609	355.759
292.244	356.531
292.879	357.303
293.514	358.076
294.149	358.848
294.785	359.62
295.42	360.393
296.055	361.165
296.69	361.937
297.325	362.71
297.961	363.482
298.596	364.254
299.231	365.027
299.866	365.799
300.502	366.571
301.137	367.344
301.772	368.116
302.407	368.888
303.043	369.661
303.678	370.433
304.313	371.205
304.949	371.977
305.584	372.75
306.219	373.522
306.854	374.294
307.49	375.066
308.125	375.839
308.76	376.611
309.396	377.383
310.031	378.155
310.666	378.928
311.302	379.7
311.937	380.472
312.573	381.244
313.208	382.016
313.843	382.789
314.479	383.561
315.114	384.333
315.749	385.105
316.385	385.877
317.02	386.65
317.656	387.422
318.291	388.194
318.926	388.966
319.562	389.738
320.197	390.511
320.833	391.283
321.468	392.055
322.104	392.827
322.739	393.599
323.374	394.371
324.01	395.143
324.645	395.916
325.281	396.688
325.916	397.46
326.552	398.232
327.187	399.004
327.823	399.776
328.458	400.548
329.094	401.32
329.729	402.092
330.365	402.865
331	403.637
331.636	404.409
332.271	405.181
332.907	405.953
333.542	406.725
334.178	407.497
334.814	408.269
335.449	409.041
336.085	409.813
336.72	410.585
337.356	411.357
337.991	412.129
338.627	412.901
339.263	413.673
339.898	414.445
340.534	415.217
341.169	415.989
341.805	416.761
342.441	417.533
343.076	418.305
343.712	419.077
344.347	419.849
344.983	420.621
345.619	421.393
346.254	422.165
346.89	422.937
347.526	423.709
348.161	424.481
348.797	425.253
349.433	426.025
350.068	426.797
350.704	427.569
351.34	428.341
351.976	429.113
