iter	log
1	3.05667
2	3.30168
3	3.24902
4	3.21503
5	3.24902
6	3.2411
7	3.23617
8	3.23312
9	3.23122
10	3.23005
11	3.22932
12	3.22888
13	3.2286
14	3.22843
15	3.22832
16	3.22826
17	3.22821
18	3.22819
19	3.22817
20	3.22816
21	3.22816
22	3.22816
23	3.22815
24	3.22815
25	3.22815
26	3.22815
27	3.22815
28	3.22815
29	3.22815
30	3.22815
31	3.22815
32	3.22815
33	3.22815
34	3.22815
x	y
0	1e-05
0.902037	0.431668
1.80408	0.863317
2.70612	1.29496
3.60817	1.72659
4.51023	2.15821
5.41229	2.58983
6.31435	3.02143
7.21642	3.45303
8.11849	3.88462
9.02056	4.3162
9.92264	4.74777
10.8247	5.17933
11.7268	5.61088
12.6289	6.04243
13.531	6.47396
14.4331	6.90549
15.3352	7.33701
16.2373	7.76852
17.1394	8.20002
18.0415	8.63151
18.9437	9.06299
19.8458	9.49447
20.7479	9.92594
21.65	10.3574
22.5522	10.7888
23.4543	11.2203
24.3565	11.6517
25.2586	12.0831
26.1608	12.5145
27.0629	12.946
27.9651	13.3774
28.8673	13.8087
29.7694	14.2401
30.6716	14.6715
31.5738	15.1028
32.476	15.5342
33.3782	15.9655
34.2804	16.3969
35.1825	16.8282
36.0847	17.2595
36.987	17.6908
37.8892	18.1221
38.7914	18.5534
39.6936	18.9847
40.5958	19.416
41.498	19.8473
42.4003	20.2785
43.3025	20.7098
44.2047	21.141
45.107	21.5722
46.0092	22.0034
46.9115	22.4347
47.8137	22.8659
48.716	23.2971
49.6182	23.7282
50.5205	24.1594
51.4228	24.5906
52.3251	25.0218
53.2273	25.4529
54.1296	25.884
55.0319	26.3152
55.9342	26.7463
56.8365	27.1774
57.7388	27.6085
58.6411	28.0396
59.5434	28.4707
60.4457	28.9018
61.348	29.3329
62.2504	29.7639
63.1527	30.195
64.055	30.626
64.9574	31.0571
65.8597	31.4881
66.762	31.9191
67.6644	32.3501
68.5667	32.7811
69.4691	33.2121
70.3714	33.6431
71.2738	34.0741
72.1762	34.5051
73.0785	34.936
73.9809	35.367
74.8833	35.7979
75.7857	36.2289
76.6881	36.6598
77.5905	37.0907
78.4929	37.5216
79.3953	37.9525
80.2977	38.3834
81.2001	38.8143
82.1025	39.2451
83.0049	39.676
83.9073	40.1069
84.8098	40.5377
85.7122	40.9685
86.6146	41.3994
87.5171	41.8302
88.4195	42.261
89.322	42.6918
90.2244	43.1226
91.1269	43.5534
92.0293	43.9841
92.9318	44.4149
93.8343	44.8457
94.7367	45.2764
95.6392	45.7072
96.5417	46.1379
97.4442	46.5686
98.3467	46.9993
99.2491	47.43
100.152	47.8607
101.054	48.2914
101.957	48.7221
102.859	49.1527
103.762	49.5834
104.664	50.0141
105.567	50.4447
106.469	50.8753
107.372	51.306
108.274	51.7366
109.177	52.1672
110.079	52.5978
110.982	53.0284
111.884	53.459
112.787	53.8895
113.69	54.3201
114.592	54.7506
115.495	55.1812
116.397	55.6117
117.3	56.0423
118.202	56.4728
119.105	56.9033
120.008	57.3338
120.91	57.7643
121.813	58.1948
122.715	58.6252
123.618	59.0557
124.521	59.4862
125.423	59.9166
126.326	60.347
127.229	60.7775
128.131	61.2079
129.034	61.6383
129.936	62.0687
130.839	62.4991
131.742	62.9295
132.644	63.3599
133.547	63.7902
134.45	64.2206
135.352	64.651
136.255	65.0813
137.158	65.5116
138.06	65.942
138.963	66.3723
139.866	66.8026
140.768	67.2329
141.671	67.6632
142.574	68.0934
143.476	68.5237
144.379	68.954
145.282	69.3842
146.185	69.8145
147.087	70.2447
147.99	70.6749
148.893	71.1052
149.795	71.5354
150.698	71.9656
151.601	72.3958
152.504	72.8259
153.406	73.2561
154.309	73.6863
155.212	74.1164
156.115	74.5466
157.017	74.9767
157.92	75.4069
158.823	75.837
159.726	76.2671
160.629	76.6972
161.531	77.1273
162.434	77.5574
163.337	77.9875
164.24	78.4175
165.143	78.8476
166.045	79.2776
166.948	79.7077
167.851	80.1377
168.754	80.5677
169.657	80.9977
170.559	81.4277
171.462	81.8577
172.365	82.2877
173.268	82.7177
174.171	83.1477
175.074	83.5776
175.976	84.0076
176.879	84.4375
177.782	84.8675
178.685	85.2974
179.588	85.7273
180.491	86.1572
181.394	86.5871
182.297	87.017
183.199	87.4469
184.102	87.8768
185.005	88.3066
185.908	88.7365
186.811	89.1663
187.714	89.5962
188.617	90.026
189.52	90.4558
190.423	90.8856
191.326	91.3154
192.229	91.7452
193.131	92.175
194.034	92.6048
194.937	93.0345
195.84	93.4643
196.743	93.894
197.646	94.3238
198.549	94.7535
199.452	95.1832
200.355	95.6129
201.258	96.0427
202.161	96.4723
203.064	96.902
203.967	97.3317
204.87	97.7614
205.773	98.191
206.676	98.6207
207.579	99.0503
208.482	99.48
209.385	99.9096
210.288	100.339
211.191	100.769
212.094	101.198
212.997	101.628
213.9	102.058
214.803	102.487
215.706	102.917
216.609	103.346
217.512	103.776
218.415	104.205
219.318	104.635
220.221	105.064
221.124	105.494
222.028	105.923
222.931	106.353
223.834	106.782
224.737	107.212
225.64	107.641
226.543	108.071
227.446	108.5
228.349	108.93
229.252	109.359
230.155	109.788
231.058	110.218
231.962	110.647
232.865	111.077
233.768	111.506
234.671	111.935
235.574	112.365
236.477	112.794
237.38	113.223
238.283	113.653
239.187	114.082
240.09	114.511
240.993	114.941
241.896	115.37
242.799	115.799
243.702	116.229
244.606	116.658
245.509	117.087
246.412	117.516
247.315	117.946
248.218	118.375
249.122	118.804
250.025	119.233
250.928	119.663
251.831	120.092
252.734	120.521
253.638	120.95
254.541	121.379
255.444	121.808
256.347	122.238
257.25	122.667
258.154	123.096
259.057	123.525
259.96	123.954
260.863	124.383
261.767	124.812
262.67	125.241
263.573	125.671
264.477	126.1
265.38	126.529
266.283	126.958
267.186	127.387
268.09	127.816
268.993	128.245
269.896	128.674
270.799	129.103
271.703	129.532
272.606	129.961
273.509	130.39
274.413	130.819
275.316	131.248
276.219	131.677
277.123	132.106
278.026	132.535
278.929	132.964
279.833	133.393
280.736	133.821
281.639	134.25
282.543	134.679
283.446	135.108
284.349	135.537
285.253	135.966
286.156	136.395
287.06	136.824
287.963	137.252
288.866	137.681
289.77	138.11
290.673	138.539
291.577	138.968
292.48	139.397
293.383	139.825
294.287	140.254
295.19	140.683
296.094	141.112
296.997	141.54
297.9	141.969
298.804	142.398
299.707	142.827
300.611	143.255
301.514	143.684
302.418	144.113
303.321	144.541
304.225	144.97
305.128	145.399
306.031	145.827
306.935	146.256
307.838	146.685
308.742	147.113
309.645	147.542
310.549	147.971
311.452	148.399
312.356	148.828
313.259	149.256
314.163	149.685
315.066	150.114
315.97	150.542
316.873	150.971
317.777	151.399
318.68	151.828
319.584	152.256
320.487	152.685
321.391	153.113
322.295	153.542
323.198	153.97
324.102	154.399
325.005	154.827
325.909	155.256
326.812	155.684
327.716	156.113
328.619	156.541
329.523	156.969
330.427	157.398
331.33	157.826
332.234	158.255
333.137	158.683
334.041	159.111
334.945	159.54
335.848	159.968
336.752	160.397
337.655	160.825
338.559	161.253
339.463	161.682
340.366	162.11
341.27	162.538
342.174	162.967
343.077	163.395
343.981	163.823
344.885	164.251
345.788	164.68
346.692	165.108
347.595	165.536
348.499	165.964
349.403	166.393
350.306	166.821
351.21	167.249
352.114	167.677
353.018	168.105
353.921	168.534
354.825	168.962
355.729	169.39
356.632	169.818
357.536	170.246
358.44	170.674
359.343	171.102
360.247	171.531
361.151	171.959
362.055	172.387
362.958	172.815
363.862	173.243
364.766	173.671
365.67	174.099
366.573	174.527
367.477	174.955
368.381	175.383
369.285	175.811
370.188	176.239
371.092	176.667
371.996	177.095
372.9	177.523
373.804	177.951
374.707	178.379
375.611	178.807
376.515	179.235
377.419	179.663
378.323	180.091
379.226	180.519
380.13	180.947
381.034	181.375
381.938	181.803
382.842	182.231
383.746	182.658
384.649	183.086
385.553	183.514
386.457	183.942
387.361	184.37
388.265	184.798
389.169	185.226
390.072	185.653
390.976	186.081
391.88	186.509
392.784	186.937
393.688	187.365
394.592	187.792
395.496	188.22
396.4	188.648
397.304	189.076
398.207	189.503
399.111	189.931
400.015	190.359
400.919	190.787
401.823	191.214
402.727	191.642
403.631	192.07
404.535	192.497
405.439	192.925
406.343	193.353
407.247	193.78
408.151	194.208
409.055	194.635
409.959	195.063
410.863	195.491
411.767	195.918
412.671	196.346
413.574	196.773
414.478	197.201
415.382	197.629
416.286	198.056
417.19	198.484
418.094	198.911
418.998	199.339
419.902	199.766
420.806	200.194
421.71	200.621
422.614	201.049
423.519	201.476
424.423	201.904
425.327	202.331
426.231	202.759
427.135	203.186
428.039	203.613
428.943	204.041
429.847	204.468
430.751	204.896
431.655	205.323
432.559	205.751
433.463	206.178
434.367	206.605
435.271	207.033
436.175	207.46
437.079	207.887
437.984	208.315
438.888	208.742
439.792	209.169
440.696	209.597
441.6	210.024
442.504	210.451
443.408	210.878
444.312	211.306
445.216	211.733
446.121	212.16
447.025	212.587
447.929	213.015
448.833	213.442
449.737	213.869
450.641	214.296
451.545	214.724
452.45	215.151
453.354	215.578
454.258	216.005
455.162	216.432
456.066	216.859
456.971	217.287
457.875	217.714
458.779	218.141
459.683	218.568
460.587	218.995
461.491	219.422
462.396	219.849
463.3	220.276
464.204	220.703
465.108	221.13
466.013	221.557
466.917	221.984
467.821	222.411
468.725	222.838
469.63	223.265
470.534	223.692
471.438	224.119
472.342	224.546
473.247	224.973
474.151	225.4
475.055	225.827
475.959	226.254
476.864	226.681
477.768	227.108
478.672	227.535
479.577	227.962
480.481	228.389
481.385	228.816
482.289	229.243
483.194	229.67
484.098	230.096
485.002	230.523
485.907	230.95
486.811	231.377
487.715	231.804
488.62	232.231
489.524	232.657
490.428	233.084
491.333	233.511
492.237	233.938
493.142	234.365
494.046	234.791
494.95	235.218
495.855	235.645
496.759	236.072
497.663	236.498
498.568	236.925
499.472	237.352
500.377	237.778
501.281	238.205
502.185	238.632
503.09	239.058
503.994	239.485
504.899	239.912
505.803	240.338
506.707	240.765
507.612	241.192
508.516	241.618
509.421	242.045
510.325	242.471
511.23	242.898
512.134	243.325
513.039	243.751
513.943	244.178
514.847	244.604
515.752	245.031
516.656	245.457
517.561	245.884
518.465	246.31
519.37	246.737
520.274	247.163
521.179	247.59
522.083	248.016
522.988	248.443
523.892	248.869
524.797	249.296
525.701	249.722
526.606	250.149
527.51	250.575
528.415	251.001
529.319	251.428
530.224	251.854
531.129	252.281
532.033	252.707
532.938	253.133
533.842	253.56
534.747	253.986
535.651	254.412
536.556	254.839
537.46	255.265
538.365	255.691
539.27	256.118
540.174	256.544
541.079	256.97
541.983	257.396
542.888	257.823
543.793	258.249
544.697	258.675
545.602	259.101
546.506	259.528
547.411	259.954
548.316	260.38
549.22	260.806
550.125	261.232
551.03	261.659
551.934	262.085
552.839	262.511
553.744	262.937
554.648	263.363
555.553	263.789
556.458	264.215
557.362	264.642
558.267	265.068
559.172	265.494
560.076	265.92
560.981	266.346
561.886	266.772
562.79	267.198
563.695	267.624
564.6	268.05
565.504	268.476
566.409	268.902
567.314	269.328
568.219	269.754
569.123	270.18
570.028	270.606
570.933	271.032
571.838	271.458
572.742	271.884
573.647	272.31
574.552	272.736
575.457	273.162
576.361	273.588
577.266	274.014
578.171	274.44
579.076	274.865
579.98	275.291
580.885	275.717
581.79	276.143
582.695	276.569
583.6	276.995
584.504	277.421
585.409	277.846
586.314	278.272
587.219	278.698
588.124	279.124
589.028	279.55
589.933	279.975
590.838	280.401
591.743	280.827
592.648	281.253
593.553	281.678
594.458	282.104
595.362	282.53
596.267	282.955
597.172	283.381
598.077	283.807
598.982	284.233
599.887	284.658
600.792	285.084
601.696	285.51
602.601	285.935
603.506	286.361
604.411	286.786
605.316	287.212
606.221	287.638
607.126	288.063
608.031	288.489
608.936	288.914
609.841	289.34
610.746	289.766
611.651	290.191
612.555	290.617
613.46	291.042
614.365	291.468
615.27	291.893
616.175	292.319
617.08	292.744
617.985	293.17
618.89	293.595
619.795	294.021
620.7	294.446
621.605	294.872
622.51	295.297
623.415	295.722
624.32	296.148
625.225	296.573
626.13	296.999
627.035	297.424
627.94	297.849
628.845	298.275
629.75	298.7
630.655	299.126
631.56	299.551
632.465	299.976
633.37	300.402
634.275	300.827
635.18	301.252
636.085	301.677
636.99	302.103
637.896	302.528
638.801	302.953
639.706	303.379
640.611	303.804
641.516	304.229
642.421	304.654
643.326	305.079
644.231	305.505
645.136	305.93
646.041	306.355
646.946	306.78
647.852	307.205
648.757	307.631
649.662	308.056
650.567	308.481
651.472	308.906
652.377	309.331
653.282	309.756
654.187	310.181
655.093	310.606
655.998	311.032
656.903	311.457
657.808	311.882
658.713	312.307
659.618	312.732
660.524	313.157
661.429	313.582
662.334	314.007
663.239	314.432
664.144	314.857
665.05	315.282
665.955	315.707
666.86	316.132
667.765	316.557
668.67	316.982
669.576	317.407
670.481	317.832
671.386	318.257
672.291	318.682
673.196	319.106
674.102	319.531
675.007	319.956
675.912	320.381
676.817	320.806
677.723	321.231
678.628	321.656
679.533	322.081
680.439	322.505
681.344	322.93
682.249	323.355
683.154	323.78
684.06	324.205
684.965	324.629
685.87	325.054
686.776	325.479
687.681	325.904
688.586	326.328
689.491	326.753
690.397	327.178
691.302	327.603
692.207	328.027
693.113	328.452
694.018	328.877
694.923	329.301
695.829	329.726
696.734	330.151
697.64	330.575
698.545	331
699.45	331.425
700.356	331.849
701.261	332.274
702.166	332.699
703.072	333.123
703.977	333.548
704.883	333.972
705.788	334.397
706.693	334.821
707.599	335.246
708.504	335.671
709.41	336.095
710.315	336.52
711.22	336.944
712.126	337.369
713.031	337.793
713.937	338.218
714.842	338.642
715.748	339.067
716.653	339.491
717.558	339.915
718.464	340.34
719.369	340.764
720.275	341.189
721.18	341.613
722.086	342.038
722.991	342.462
723.897	342.886
724.802	343.311
725.708	343.735
726.613	344.159
727.519	344.584
728.424	345.008
729.33	345.432
730.235	345.857
731.141	346.281
732.046	346.705
732.952	347.13
733.857	347.554
734.763	347.978
735.668	348.402
736.574	348.827
737.48	349.251
738.385	349.675
739.291	350.099
740.196	350.524
741.102	350.948
742.007	351.372
742.913	351.796
743.819	352.22
744.724	352.644
745.63	353.069
746.535	353.493
747.441	353.917
748.347	354.341
749.252	354.765
750.158	355.189
751.063	355.613
751.969	356.037
752.875	356.461
753.78	356.885
754.686	357.31
755.592	357.734
756.497	358.158
757.403	358.582
758.308	359.006
759.214	359.43
760.12	359.854
761.025	360.278
761.931	360.702
762.837	361.126
763.742	361.55
764.648	361.973
765.554	362.397
766.46	362.821
767.365	363.245
768.271	363.669
769.177	364.093
770.082	364.517
770.988	364.941
771.894	365.365
772.8	365.789
773.705	366.212
774.611	366.636
775.517	367.06
776.423	367.484
777.328	367.908
778.234	368.332
779.14	368.755
780.046	369.179
780.951	369.603
781.857	370.027
782.763	370.45
783.669	370.874
784.574	371.298
785.48	371.722
786.386	372.145
787.292	372.569
788.198	372.993
789.103	373.417
790.009	373.84
790.915	374.264
791.821	374.688
792.727	375.111
793.632	375.535
794.538	375.958
795.444	376.382
796.35	376.806
797.256	377.229
798.162	377.653
799.068	378.076
799.973	378.5
800.879	378.924
801.785	379.347
802.691	379.771
803.597	380.194
804.503	380.618
805.409	381.041
806.315	381.465
807.22	381.888
808.126	382.312
809.032	382.735
809.938	383.159
810.844	383.582
811.75	384.006
812.656	384.429
813.562	384.853
814.468	385.276
815.374	385.699
816.28	386.123
817.186	386.546
818.092	386.97
818.998	387.393
819.903	387.816
820.809	388.24
821.715	388.663
822.621	389.086
823.527	389.51
824.433	389.933
825.339	390.356
826.245	390.78
827.151	391.203
828.057	391.626
828.963	392.049
829.869	392.473
830.775	392.896
831.681	393.319
832.587	393.742
833.493	394.166
834.399	394.589
835.305	395.012
836.212	395.435
837.118	395.858
838.024	396.282
838.93	396.705
839.836	397.128
840.742	397.551
841.648	397.974
842.554	398.397
843.46	398.82
844.366	399.244
845.272	399.667
846.178	400.09
847.084	400.513
847.99	400.936
848.897	401.359
849.803	401.782
850.709	402.205
851.615	402.628
852.521	403.051
853.427	403.474
854.333	403.897
855.239	404.32
856.146	404.743
857.052	405.166
857.958	405.589
858.864	406.012
859.77	406.435
860.676	406.858
861.582	407.281
862.489	407.704
863.395	408.126
864.301	408.549
865.207	408.972
866.113	409.395
867.02	409.818
867.926	410.241
868.832	410.664
869.738	411.087
870.644	411.509
871.551	411.932
872.457	412.355
873.363	412.778
874.269	413.201
875.176	413.623
876.082	414.046
876.988	414.469
877.894	414.892
878.801	415.314
879.707	415.737
880.613	416.16
881.519	416.582
882.426	417.005
883.332	417.428
884.238	417.851
885.144	418.273
886.051	418.696
886.957	419.119
887.863	419.541
888.77	419.964
889.676	420.386
890.582	420.809
891.489	421.232
892.395	421.654
893.301	422.077
894.208	422.499
895.114	422.922
896.02	423.344
896.927	423.767
897.833	424.19
898.739	424.612
899.646	425.035
900.552	425.457
901.458	425.88
902.365	426.302
903.271	426.725
904.177	427.147
905.084	427.569
905.99	427.992
906.897	428.414
907.803	428.837
908.709	429.259
909.616	429.682
910.522	430.104
911.429	430.526
912.335	430.949
913.241	431.371
914.148	431.793
915.054	432.216
915.961	432.638
916.867	433.06
917.774	433.483
918.68	433.905
919.587	434.327
920.493	434.75
921.399	435.172
922.306	435.594
923.212	436.017
924.119	436.439
925.025	436.861
925.932	437.283
926.838	437.705
927.745	438.128
928.651	438.55
929.558	438.972
930.464	439.394
931.371	439.816
932.277	440.239
933.184	440.661
934.09	441.083
934.997	441.505
935.904	441.927
936.81	442.349
937.717	442.771
938.623	443.193
939.53	443.616
940.436	444.038
941.343	444.46
942.249	444.882
943.156	445.304
944.063	445.726
944.969	446.148
945.876	446.57
946.782	446.992
947.689	447.414
948.596	447.836
949.502	448.258
950.409	448.68
951.315	449.102
952.222	449.524
953.129	449.946
954.035	450.368
954.942	450.789
955.849	451.211
956.755	451.633
957.662	452.055
958.568	452.477
959.475	452.899
960.382	453.321
961.288	453.743
962.195	454.164
963.102	454.586
964.009	455.008
964.915	455.43
965.822	455.852
966.729	456.274
967.635	456.695
968.542	457.117
969.449	457.539
970.355	457.961
971.262	458.382
972.169	458.804
973.076	459.226
973.982	459.647
974.889	460.069
975.796	460.491
976.702	460.913
977.609	461.334
978.516	461.756
979.423	462.178
980.33	462.599
981.236	463.021
982.143	463.442
983.05	463.864
983.957	464.286
984.863	464.707
985.77	465.129
986.677	465.55
987.584	465.972
988.491	466.394
989.397	466.815
990.304	467.237
991.211	467.658
992.118	468.08
993.025	468.501
993.931	468.923
994.838	469.344
995.745	469.766
996.652	470.187
997.559	470.609
998.466	471.03
999.373	471.451
1000.28	471.873
1001.19	472.294
1002.09	472.716
1003	473.137
1003.91	473.559
1004.81	473.98
1005.72	474.401
1006.63	474.823
1007.53	475.244
1008.44	475.665
1009.35	476.087
1010.26	476.508
1011.16	476.929
1012.07	477.351
1012.98	477.772
1013.88	478.193
1014.79	478.614
1015.7	479.036
1016.6	479.457
1017.51	479.878
1018.42	480.299
1019.32	480.721
1020.23	481.142
1021.14	481.563
1022.05	481.984
1022.95	482.405
1023.86	482.827
1024.77	483.248
1025.67	483.669
1026.58	484.09
1027.49	484.511
1028.39	484.932
1029.3	485.353
1030.21	485.774
1031.12	486.196
1032.02	486.617
1032.93	487.038
1033.84	487.459
1034.74	487.88
1035.65	488.301
1036.56	488.722
1037.46	489.143
1038.37	489.564
1039.28	489.985
1040.19	490.406
1041.09	490.827
1042	491.248
1042.91	491.669
1043.81	492.09
1044.72	492.511
1045.63	492.932
1046.54	493.353
1047.44	493.774
1048.35	494.194
1049.26	494.615
1050.16	495.036
1051.07	495.457
1051.98	495.878
1052.89	496.299
1053.79	496.72
1054.7	497.141
1055.61	497.561
1056.51	497.982
1057.42	498.403
1058.33	498.824
1059.24	499.245
1060.14	499.665
1061.05	500.086
1061.96	500.507
1062.86	500.928
1063.77	501.348
1064.68	501.769
1065.59	502.19
1066.49	502.61
1067.4	503.031
1068.31	503.452
1069.21	503.873
1070.12	504.293
1071.03	504.714
1071.94	505.134
1072.84	505.555
1073.75	505.976
1074.66	506.396
1075.56	506.817
1076.47	507.238
1077.38	507.658
1078.29	508.079
1079.19	508.499
1080.1	508.92
1081.01	509.34
1081.92	509.761
1082.82	510.181
1083.73	510.602
1084.64	511.023
1085.54	511.443
1086.45	511.863
1087.36	512.284
1088.27	512.704
1089.17	513.125
1090.08	513.545
1090.99	513.966
1091.9	514.386
1092.8	514.807
1093.71	515.227
1094.62	515.647
1095.53	516.068
1096.43	516.488
1097.34	516.909
1098.25	517.329
1099.15	517.749
1100.06	518.17
1100.97	518.59
1101.88	519.01
1102.78	519.431
1103.69	519.851
1104.6	520.271
1105.51	520.691
1106.41	521.112
1107.32	521.532
1108.23	521.952
1109.14	522.372
1110.04	522.793
1110.95	523.213
1111.86	523.633
1112.77	524.053
1113.67	524.474
1114.58	524.894
1115.49	525.314
1116.4	525.734
1117.3	526.154
1118.21	526.574
1119.12	526.994
1120.03	527.415
1120.93	527.835
1121.84	528.255
1122.75	528.675
1123.66	529.095
1124.56	529.515
1125.47	529.935
1126.38	530.355
1127.29	530.775
1128.19	531.195
1129.1	531.615
1130.01	532.035
1130.92	532.455
1131.82	532.875
1132.73	533.295
1133.64	533.715
1134.55	534.135
1135.45	534.555
1136.36	534.975
1137.27	535.395
1138.18	535.815
1139.08	536.235
1139.99	536.655
1140.9	537.075
1141.81	537.494
1142.71	537.914
1143.62	538.334
1144.53	538.754
1145.44	539.174
1146.34	539.594
1147.25	540.013
1148.16	540.433
1149.07	540.853
1149.97	541.273
1150.88	541.693
1151.79	542.112
1152.7	542.532
1153.61	542.952
1154.51	543.372
1155.42	543.791
1156.33	544.211
1157.24	544.631
1158.14	545.051
1159.05	545.47
1159.96	545.89
1160.87	546.31
1161.77	546.729
1162.68	547.149
1163.59	547.569
1164.5	547.988
1165.4	548.408
1166.31	548.827
1167.22	549.247
1168.13	549.667
1169.04	550.086
1169.94	550.506
1170.85	550.925
1171.76	551.345
1172.67	551.764
1173.57	552.184
1174.48	552.603
1175.39	553.023
1176.3	553.442
1177.21	553.862
1178.11	554.281
1179.02	554.701
1179.93	555.12
1180.84	555.54
1181.74	555.959
1182.65	556.379
1183.56	556.798
1184.47	557.217
1185.38	557.637
1186.28	558.056
1187.19	558.476
1188.1	558.895
1189.01	559.314
1189.91	559.734
1190.82	560.153
1191.73	560.572
1192.64	560.992
1193.55	561.411
1194.45	561.83
1195.36	562.25
1196.27	562.669
1197.18	563.088
1198.09	563.507
1198.99	563.927
1199.9	564.346
1200.81	564.765
1201.72	565.184
1202.62	565.603
1203.53	566.023
1204.44	566.442
1205.35	566.861
1206.26	567.28
1207.16	567.699
1208.07	568.118
1208.98	568.538
1209.89	568.957
1210.8	569.376
1211.7	569.795
1212.61	570.214
1213.52	570.633
1214.43	571.052
1215.34	571.471
1216.24	571.89
1217.15	572.309
1218.06	572.728
1218.97	573.147
1219.88	573.566
1220.78	573.985
1221.69	574.404
1222.6	574.823
1223.51	575.242
1224.42	575.661
1225.32	576.08
