iter	log
1	3.05667
2	3.30168
3	3.24902
4	3.21503
5	3.19343
6	3.21503
7	3.20997
8	3.20683
9	3.20489
10	3.20369
11	3.20294
12	3.20248
13	3.2022
14	3.20202
15	3.20191
16	3.20184
17	3.2018
18	3.20178
19	3.20176
20	3.20175
21	3.20174
22	3.20174
23	3.20174
24	3.20174
25	3.20174
26	3.20174
27	3.20174
28	3.20174
29	3.20174
30	3.20174
31	3.20174
32	3.20174
33	3.20174
34	3.20174
x	y
0	1e-05
0.897023	0.441995
1.79405	0.883971
2.69108	1.32594
3.58812	1.7679
4.48516	2.20985
5.3822	2.65179
6.27925	3.09372
7.1763	3.53565
8.07336	3.97756
8.97042	4.41947
9.86748	4.86137
10.7646	5.30326
11.6616	5.74514
12.5587	6.18701
13.4558	6.62888
14.3529	7.07073
15.25	7.51258
16.1471	7.95442
17.0442	8.39625
17.9413	8.83807
18.8384	9.27988
19.7355	9.72169
20.6326	10.1635
21.5297	10.6053
22.4268	11.047
23.324	11.4888
24.2211	11.9306
25.1182	12.3723
26.0154	12.8141
26.9125	13.2558
27.8097	13.6975
28.7068	14.1393
29.604	14.581
30.5011	15.0227
31.3983	15.4644
32.2955	15.906
33.1927	16.3477
34.0898	16.7894
34.987	17.231
35.8842	17.6727
36.7814	18.1143
37.6786	18.556
38.5758	18.9976
39.473	19.4392
40.3702	19.8808
41.2674	20.3224
42.1646	20.764
43.0619	21.2056
43.9591	21.6471
44.8563	22.0887
45.7536	22.5303
46.6508	22.9718
47.548	23.4133
48.4453	23.8549
49.3425	24.2964
50.2398	24.7379
51.1371	25.1794
52.0343	25.6209
52.9316	26.0624
53.8289	26.5038
54.7261	26.9453
55.6234	27.3868
56.5207	27.8282
57.418	28.2697
58.3153	28.7111
59.2126	29.1525
60.1099	29.5939
61.0072	30.0353
61.9045	30.4767
62.8018	30.9181
63.6991	31.3595
64.5965	31.8009
65.4938	32.2422
66.3911	32.6836
67.2885	33.1249
68.1858	33.5663
69.0832	34.0076
69.9805	34.4489
70.8779	34.8902
71.7752	35.3315
72.6726	35.7728
73.57	36.2141
74.4673	36.6554
75.3647	37.0967
76.2621	37.5379
77.1595	37.9792
78.0568	38.4204
78.9542	38.8617
79.8516	39.3029
80.749	39.7441
81.6464	40.1853
82.5439	40.6265
83.4413	41.0677
84.3387	41.5089
85.2361	41.95
86.1335	42.3912
87.031	42.8324
87.9284	43.2735
88.8258	43.7146
89.7233	44.1558
90.6207	44.5969
91.5182	45.038
92.4156	45.4791
93.3131	45.9202
94.2106	46.3613
95.108	46.8024
96.0055	47.2434
96.903	47.6845
97.8005	48.1255
98.698	48.5666
99.5954	49.0076
100.493	49.4486
101.39	49.8897
102.288	50.3307
103.185	50.7717
104.083	51.2126
104.98	51.6536
105.878	52.0946
106.776	52.5356
107.673	52.9765
108.571	53.4175
109.468	53.8584
110.366	54.2993
111.263	54.7403
112.161	55.1812
113.058	55.6221
113.956	56.063
114.853	56.5038
115.751	56.9447
116.649	57.3856
117.546	57.8264
118.444	58.2673
119.341	58.7081
120.239	59.149
121.137	59.5898
122.034	60.0306
122.932	60.4714
123.829	60.9122
124.727	61.353
125.625	61.7938
126.522	62.2346
127.42	62.6753
128.317	63.1161
129.215	63.5568
130.113	63.9976
131.01	64.4383
131.908	64.879
132.806	65.3197
133.703	65.7604
134.601	66.2011
135.499	66.6418
136.396	67.0825
137.294	67.5231
138.192	67.9638
139.089	68.4044
139.987	68.8451
140.885	69.2857
141.782	69.7263
142.68	70.1669
143.578	70.6076
144.475	71.0481
145.373	71.4887
146.271	71.9293
147.169	72.3699
148.066	72.8104
148.964	73.251
149.862	73.6915
150.76	74.1321
151.657	74.5726
152.555	75.0131
153.453	75.4536
154.35	75.8941
155.248	76.3346
156.146	76.7751
157.044	77.2156
157.942	77.656
158.839	78.0965
159.737	78.537
160.635	78.9774
161.533	79.4178
162.43	79.8582
163.328	80.2987
164.226	80.7391
165.124	81.1795
166.022	81.6198
166.919	82.0602
167.817	82.5006
168.715	82.9409
169.613	83.3813
170.511	83.8216
171.409	84.262
172.306	84.7023
173.204	85.1426
174.102	85.5829
175	86.0232
175.898	86.4635
176.796	86.9038
177.694	87.3441
178.591	87.7843
179.489	88.2246
180.387	88.6648
181.285	89.1051
182.183	89.5453
183.081	89.9855
183.979	90.4257
184.877	90.8659
185.775	91.3061
186.672	91.7463
187.57	92.1865
188.468	92.6266
189.366	93.0668
190.264	93.5069
191.162	93.9471
192.06	94.3872
192.958	94.8273
193.856	95.2674
194.754	95.7076
195.652	96.1476
196.55	96.5877
197.448	97.0278
198.346	97.4679
199.244	97.9079
200.142	98.348
201.04	98.788
201.938	99.2281
202.836	99.6681
203.734	100.108
204.632	100.548
205.53	100.988
206.428	101.428
207.326	101.868
208.224	102.308
209.122	102.748
210.02	103.188
210.918	103.628
211.816	104.068
212.714	104.508
213.612	104.948
214.51	105.388
215.408	105.828
216.306	106.267
217.204	106.707
218.102	107.147
219	107.587
219.898	108.027
220.796	108.467
221.694	108.907
222.592	109.346
223.49	109.786
224.388	110.226
225.287	110.666
226.185	111.106
227.083	111.545
227.981	111.985
228.879	112.425
229.777	112.865
230.675	113.305
231.573	113.744
232.471	114.184
233.37	114.624
234.268	115.063
235.166	115.503
236.064	115.943
236.962	116.383
237.86	116.822
238.758	117.262
239.657	117.702
240.555	118.141
241.453	118.581
242.351	119.02
243.249	119.46
244.148	119.9
245.046	120.339
245.944	120.779
246.842	121.219
247.74	121.658
248.639	122.098
249.537	122.537
250.435	122.977
251.333	123.416
252.231	123.856
253.13	124.295
254.028	124.735
254.926	125.174
255.824	125.614
256.723	126.053
257.621	126.493
258.519	126.932
259.417	127.372
260.316	127.811
261.214	128.251
262.112	128.69
263.01	129.13
263.909	129.569
264.807	130.008
265.705	130.448
266.604	130.887
267.502	131.327
268.4	131.766
269.298	132.205
270.197	132.645
271.095	133.084
271.993	133.523
272.892	133.963
273.79	134.402
274.688	134.841
275.587	135.281
276.485	135.72
277.383	136.159
278.282	136.599
279.18	137.038
280.078	137.477
280.977	137.916
281.875	138.356
282.774	138.795
283.672	139.234
284.57	139.673
285.469	140.113
286.367	140.552
287.266	140.991
288.164	141.43
289.062	141.869
289.961	142.308
290.859	142.748
291.758	143.187
292.656	143.626
293.554	144.065
294.453	144.504
295.351	144.943
296.25	145.382
297.148	145.821
298.047	146.261
298.945	146.7
299.843	147.139
300.742	147.578
301.64	148.017
302.539	148.456
303.437	148.895
304.336	149.334
305.234	149.773
306.133	150.212
307.031	150.651
307.93	151.09
308.828	151.529
309.727	151.968
310.625	152.407
311.524	152.846
312.422	153.285
313.321	153.724
314.219	154.163
315.118	154.601
316.016	155.04
316.915	155.479
317.813	155.918
318.712	156.357
319.611	156.796
320.509	157.235
321.408	157.674
322.306	158.112
323.205	158.551
324.103	158.99
325.002	159.429
325.901	159.868
326.799	160.307
327.698	160.745
328.596	161.184
329.495	161.623
330.394	162.062
331.292	162.5
332.191	162.939
333.089	163.378
333.988	163.817
334.887	164.255
335.785	164.694
336.684	165.133
337.582	165.571
338.481	166.01
339.38	166.449
340.278	166.887
341.177	167.326
342.076	167.765
342.974	168.203
343.873	168.642
344.772	169.081
345.67	169.519
346.569	169.958
347.468	170.396
348.366	170.835
349.265	171.274
350.164	171.712
351.063	172.151
351.961	172.589
352.86	173.028
353.759	173.466
354.657	173.905
355.556	174.343
356.455	174.782
357.354	175.22
358.252	175.659
359.151	176.097
360.05	176.536
360.949	176.974
361.847	177.413
362.746	177.851
363.645	178.29
364.544	178.728
365.442	179.166
366.341	179.605
367.24	180.043
368.139	180.482
369.038	180.92
369.936	181.358
370.835	181.797
371.734	182.235
372.633	182.673
373.532	183.112
374.43	183.55
375.329	183.988
376.228	184.427
377.127	184.865
378.026	185.303
378.925	185.742
379.823	186.18
380.722	186.618
381.621	187.056
382.52	187.495
383.419	187.933
384.318	188.371
385.217	188.809
386.115	189.247
387.014	189.686
387.913	190.124
388.812	190.562
389.711	191
390.61	191.438
391.509	191.876
392.408	192.315
393.307	192.753
394.206	193.191
395.104	193.629
396.003	194.067
396.902	194.505
397.801	194.943
398.7	195.381
399.599	195.819
400.498	196.257
401.397	196.696
402.296	197.134
403.195	197.572
404.094	198.01
404.993	198.448
405.892	198.886
406.791	199.324
407.69	199.762
408.589	200.2
409.488	200.638
410.387	201.076
411.286	201.513
412.185	201.951
413.084	202.389
413.983	202.827
414.882	203.265
415.781	203.703
416.68	204.141
417.579	204.579
418.478	205.017
419.377	205.455
420.276	205.892
421.175	206.33
422.074	206.768
422.973	207.206
423.872	207.644
424.771	208.082
425.67	208.519
426.569	208.957
427.468	209.395
428.368	209.833
429.267	210.271
430.166	210.708
431.065	211.146
431.964	211.584
432.863	212.022
433.762	212.459
434.661	212.897
435.56	213.335
436.459	213.772
437.359	214.21
438.258	214.648
439.157	215.085
440.056	215.523
440.955	215.961
441.854	216.398
442.753	216.836
443.653	217.274
444.552	217.711
445.451	218.149
446.35	218.587
447.249	219.024
448.148	219.462
449.048	219.899
449.947	220.337
450.846	220.774
451.745	221.212
452.644	221.649
453.544	222.087
454.443	222.525
455.342	222.962
456.241	223.4
457.141	223.837
458.04	224.274
458.939	224.712
459.838	225.149
460.737	225.587
461.637	226.024
462.536	226.462
463.435	226.899
464.334	227.337
465.234	227.774
466.133	228.211
467.032	228.649
467.932	229.086
468.831	229.524
469.73	229.961
470.629	230.398
471.529	230.836
472.428	231.273
473.327	231.71
474.227	232.148
475.126	232.585
476.025	233.022
476.925	233.459
477.824	233.897
478.723	234.334
479.623	234.771
480.522	235.209
481.421	235.646
482.321	236.083
483.22	236.52
484.119	236.957
485.019	237.395
485.918	237.832
486.817	238.269
487.717	238.706
488.616	239.143
489.516	239.581
490.415	240.018
491.314	240.455
492.214	240.892
493.113	241.329
494.013	241.766
494.912	242.203
495.811	242.64
496.711	243.077
497.61	243.515
498.51	243.952
499.409	244.389
500.308	244.826
501.208	245.263
502.107	245.7
503.007	246.137
503.906	246.574
504.806	247.011
505.705	247.448
506.605	247.885
507.504	248.322
508.404	248.759
509.303	249.196
510.203	249.633
511.102	250.07
512.002	250.507
512.901	250.943
513.801	251.38
514.7	251.817
515.6	252.254
516.499	252.691
517.399	253.128
518.298	253.565
519.198	254.002
520.097	254.439
520.997	254.875
521.896	255.312
522.796	255.749
523.695	256.186
524.595	256.623
525.495	257.059
526.394	257.496
527.294	257.933
528.193	258.37
529.093	258.807
529.992	259.243
530.892	259.68
531.792	260.117
532.691	260.553
533.591	260.99
534.49	261.427
535.39	261.864
536.29	262.3
537.189	262.737
538.089	263.174
538.988	263.61
539.888	264.047
540.788	264.484
541.687	264.92
542.587	265.357
543.487	265.793
544.386	266.23
545.286	266.667
546.186	267.103
547.085	267.54
547.985	267.976
548.885	268.413
549.784	268.849
550.684	269.286
551.584	269.722
552.483	270.159
553.383	270.595
554.283	271.032
555.183	271.468
556.082	271.905
556.982	272.341
557.882	272.778
558.781	273.214
559.681	273.651
560.581	274.087
561.481	274.524
562.38	274.96
563.28	275.396
564.18	275.833
565.08	276.269
565.979	276.706
566.879	277.142
567.779	277.578
568.679	278.015
569.579	278.451
570.478	278.887
571.378	279.324
572.278	279.76
573.178	280.196
574.077	280.633
574.977	281.069
575.877	281.505
576.777	281.941
577.677	282.378
578.577	282.814
579.476	283.25
580.376	283.686
581.276	284.123
582.176	284.559
583.076	284.995
583.976	285.431
584.875	285.867
585.775	286.304
586.675	286.74
587.575	287.176
588.475	287.612
589.375	288.048
590.275	288.484
591.175	288.92
592.075	289.357
592.974	289.793
593.874	290.229
594.774	290.665
595.674	291.101
596.574	291.537
597.474	291.973
598.374	292.409
599.274	292.845
600.174	293.281
601.074	293.717
601.974	294.153
602.874	294.589
603.774	295.025
604.673	295.461
605.573	295.897
606.473	296.333
607.373	296.769
608.273	297.205
609.173	297.641
610.073	298.077
610.973	298.513
611.873	298.949
612.773	299.385
613.673	299.82
614.573	300.256
615.473	300.692
616.373	301.128
617.273	301.564
618.173	302
619.073	302.436
619.973	302.871
620.873	303.307
621.773	303.743
622.674	304.179
623.574	304.615
624.474	305.05
625.374	305.486
626.274	305.922
627.174	306.358
628.074	306.793
628.974	307.229
629.874	307.665
630.774	308.101
631.674	308.536
632.574	308.972
633.474	309.408
634.375	309.843
635.275	310.279
636.175	310.715
637.075	311.15
637.975	311.586
638.875	312.022
639.775	312.457
640.675	312.893
641.576	313.328
642.476	313.764
643.376	314.2
644.276	314.635
645.176	315.071
646.076	315.506
646.976	315.942
647.877	316.377
648.777	316.813
649.677	317.248
650.577	317.684
651.477	318.119
652.378	318.555
653.278	318.99
654.178	319.426
655.078	319.861
655.978	320.297
656.879	320.732
657.779	321.168
658.679	321.603
659.579	322.038
660.48	322.474
661.38	322.909
662.28	323.345
663.18	323.78
664.081	324.215
664.981	324.651
665.881	325.086
666.781	325.521
667.682	325.957
668.582	326.392
669.482	326.827
670.382	327.263
671.283	327.698
672.183	328.133
673.083	328.569
673.984	329.004
674.884	329.439
675.784	329.874
676.685	330.31
677.585	330.745
678.485	331.18
679.385	331.615
680.286	332.05
681.186	332.486
682.087	332.921
682.987	333.356
683.887	333.791
684.788	334.226
685.688	334.661
686.588	335.097
687.489	335.532
688.389	335.967
689.289	336.402
690.19	336.837
691.09	337.272
691.991	337.707
692.891	338.142
693.791	338.577
694.692	339.012
695.592	339.447
696.493	339.882
697.393	340.317
698.293	340.752
699.194	341.187
700.094	341.622
700.995	342.057
701.895	342.492
702.796	342.927
703.696	343.362
704.597	343.797
705.497	344.232
706.398	344.667
707.298	345.102
708.198	345.537
709.099	345.972
709.999	346.407
710.9	346.842
711.8	347.276
712.701	347.711
713.601	348.146
714.502	348.581
715.402	349.016
716.303	349.451
717.203	349.885
718.104	350.32
719.005	350.755
719.905	351.19
720.806	351.625
721.706	352.059
722.607	352.494
723.507	352.929
724.408	353.364
725.308	353.798
726.209	354.233
727.109	354.668
728.01	355.102
728.911	355.537
729.811	355.972
730.712	356.407
731.612	356.841
732.513	357.276
733.414	357.71
734.314	358.145
735.215	358.58
736.115	359.014
737.016	359.449
737.917	359.884
738.817	360.318
739.718	360.753
740.619	361.187
741.519	361.622
742.42	362.056
743.321	362.491
744.221	362.925
745.122	363.36
746.023	363.795
746.923	364.229
747.824	364.664
748.725	365.098
749.625	365.532
750.526	365.967
751.427	366.401
752.327	366.836
753.228	367.27
754.129	367.705
755.029	368.139
755.93	368.574
756.831	369.008
757.732	369.442
758.632	369.877
759.533	370.311
760.434	370.745
761.335	371.18
762.235	371.614
763.136	372.048
764.037	372.483
764.938	372.917
765.838	373.351
766.739	373.786
767.64	374.22
768.541	374.654
769.441	375.089
770.342	375.523
771.243	375.957
772.144	376.391
773.045	376.825
773.945	377.26
774.846	377.694
775.747	378.128
776.648	378.562
777.549	378.996
778.45	379.431
779.35	379.865
780.251	380.299
781.152	380.733
782.053	381.167
782.954	381.601
783.855	382.035
784.755	382.47
785.656	382.904
786.557	383.338
787.458	383.772
788.359	384.206
789.26	384.64
790.161	385.074
791.062	385.508
791.963	385.942
792.863	386.376
793.764	386.81
794.665	387.244
795.566	387.678
796.467	388.112
797.368	388.546
798.269	388.98
799.17	389.414
800.071	389.848
800.972	390.282
801.873	390.716
802.774	391.15
803.675	391.584
804.576	392.018
805.477	392.451
806.378	392.885
807.278	393.319
808.179	393.753
809.08	394.187
809.981	394.621
810.882	395.055
811.783	395.488
812.684	395.922
813.585	396.356
814.486	396.79
815.387	397.224
816.289	397.657
817.19	398.091
818.091	398.525
818.992	398.959
819.893	399.392
820.794	399.826
821.695	400.26
822.596	400.693
823.497	401.127
824.398	401.561
825.299	401.994
826.2	402.428
827.101	402.862
828.002	403.295
828.903	403.729
829.804	404.163
830.705	404.596
831.607	405.03
832.508	405.464
833.409	405.897
834.31	406.331
835.211	406.764
836.112	407.198
837.013	407.631
837.914	408.065
838.816	408.499
839.717	408.932
840.618	409.366
841.519	409.799
842.42	410.233
843.321	410.666
844.222	411.1
845.124	411.533
846.025	411.966
846.926	412.4
847.827	412.833
848.728	413.267
849.63	413.7
850.531	414.134
851.432	414.567
852.333	415
853.234	415.434
854.136	415.867
855.037	416.3
855.938	416.734
856.839	417.167
857.741	417.601
858.642	418.034
859.543	418.467
860.444	418.9
861.345	419.334
862.247	419.767
863.148	420.2
864.049	420.634
864.951	421.067
865.852	421.5
866.753	421.933
867.654	422.367
868.556	422.8
869.457	423.233
870.358	423.666
871.26	424.099
872.161	424.533
873.062	424.966
873.964	425.399
874.865	425.832
875.766	426.265
876.667	426.698
877.569	427.131
878.47	427.565
879.372	427.998
880.273	428.431
881.174	428.864
882.076	429.297
882.977	429.73
883.878	430.163
884.78	430.596
885.681	431.029
886.582	431.462
887.484	431.895
888.385	432.328
889.287	432.761
890.188	433.194
891.089	433.627
891.991	434.06
892.892	434.493
893.794	434.926
894.695	435.359
895.596	435.792
896.498	436.225
897.399	436.658
898.301	437.091
899.202	437.523
900.104	437.956
901.005	438.389
901.907	438.822
902.808	439.255
903.71	439.688
904.611	440.121
905.512	440.553
906.414	440.986
907.315	441.419
908.217	441.852
909.118	442.285
910.02	442.717
910.921	443.15
911.823	443.583
912.724	444.016
913.626	444.448
914.528	444.881
915.429	445.314
916.331	445.747
917.232	446.179
918.134	446.612
919.035	447.045
919.937	447.477
920.838	447.91
921.74	448.343
922.641	448.775
923.543	449.208
924.445	449.641
925.346	450.073
926.248	450.506
927.149	450.938
928.051	451.371
928.953	451.804
929.854	452.236
930.756	452.669
931.657	453.101
932.559	453.534
933.461	453.966
934.362	454.399
935.264	454.831
936.166	455.264
937.067	455.696
937.969	456.129
938.87	456.561
939.772	456.994
940.674	457.426
941.575	457.859
942.477	458.291
943.379	458.723
944.28	459.156
945.182	459.588
946.084	460.021
946.985	460.453
947.887	460.885
948.789	461.318
949.691	461.75
950.592	462.182
951.494	462.615
952.396	463.047
953.297	463.479
954.199	463.912
955.101	464.344
956.003	464.776
956.904	465.208
957.806	465.641
958.708	466.073
959.61	466.505
960.511	466.937
961.413	467.37
962.315	467.802
963.217	468.234
964.119	468.666
965.02	469.099
965.922	469.531
966.824	469.963
967.726	470.395
968.627	470.827
969.529	471.259
970.431	471.691
971.333	472.124
972.235	472.556
973.137	472.988
974.038	473.42
974.94	473.852
975.842	474.284
976.744	474.716
977.646	475.148
978.548	475.58
979.449	476.012
980.351	476.444
981.253	476.876
982.155	477.308
983.057	477.74
983.959	478.172
984.861	478.604
985.763	479.036
986.665	479.468
987.566	479.9
988.468	480.332
989.37	480.764
990.272	481.196
991.174	481.628
992.076	482.06
992.978	482.491
993.88	482.923
994.782	483.355
995.684	483.787
996.586	484.219
997.488	484.651
998.39	485.083
999.292	485.514
1000.19	485.946
1001.1	486.378
1002	486.81
1002.9	487.242
1003.8	487.673
1004.7	488.105
1005.61	488.537
1006.51	488.969
1007.41	489.4
1008.31	489.832
1009.21	490.264
1010.12	490.695
1011.02	491.127
1011.92	491.559
1012.82	491.991
1013.72	492.422
1014.63	492.854
1015.53	493.285
1016.43	493.717
1017.33	494.149
1018.23	494.58
1019.14	495.012
1020.04	495.444
1020.94	495.875
1021.84	496.307
1022.74	496.738
1023.65	497.17
1024.55	497.601
1025.45	498.033
1026.35	498.464
1027.25	498.896
1028.16	499.327
1029.06	499.759
1029.96	500.19
1030.86	500.622
1031.77	501.053
1032.67	501.485
1033.57	501.916
1034.47	502.348
1035.37	502.779
1036.28	503.211
1037.18	503.642
1038.08	504.073
1038.98	504.505
1039.88	504.936
1040.79	505.367
1041.69	505.799
1042.59	506.23
1043.49	506.661
1044.4	507.093
1045.3	507.524
1046.2	507.955
1047.1	508.387
1048	508.818
1048.91	509.249
1049.81	509.681
1050.71	510.112
1051.61	510.543
1052.52	510.974
1053.42	511.406
1054.32	511.837
1055.22	512.268
1056.12	512.699
1057.03	513.13
1057.93	513.562
1058.83	513.993
1059.73	514.424
1060.64	514.855
1061.54	515.286
1062.44	515.717
1063.34	516.148
1064.25	516.58
1065.15	517.011
1066.05	517.442
1066.95	517.873
1067.85	518.304
1068.76	518.735
1069.66	519.166
1070.56	519.597
1071.46	520.028
1072.37	520.459
1073.27	520.89
1074.17	521.321
1075.07	521.752
1075.98	522.183
1076.88	522.614
1077.78	523.045
1078.68	523.476
1079.58	523.907
1080.49	524.338
1081.39	524.769
1082.29	525.2
1083.19	525.631
1084.1	526.062
1085	526.492
1085.9	526.923
1086.8	527.354
1087.71	527.785
1088.61	528.216
1089.51	528.647
1090.41	529.078
1091.32	529.508
1092.22	529.939
1093.12	530.37
1094.02	530.801
1094.93	531.232
1095.83	531.662
1096.73	532.093
1097.63	532.524
1098.54	532.955
1099.44	533.385
1100.34	533.816
1101.24	534.247
1102.15	534.677
1103.05	535.108
1103.95	535.539
1104.85	535.969
1105.76	536.4
1106.66	536.831
1107.56	537.261
1108.46	537.692
1109.37	538.123
1110.27	538.553
1111.17	538.984
1112.07	539.414
1112.98	539.845
1113.88	540.276
1114.78	540.706
1115.68	541.137
1116.59	541.567
1117.49	541.998
1118.39	542.428
1119.29	542.859
1120.2	543.289
1121.1	543.72
1122	544.15
1122.9	544.581
1123.81	545.011
1124.71	545.442
1125.61	545.872
1126.51	546.303
1127.42	546.733
1128.32	547.163
1129.22	547.594
1130.13	548.024
1131.03	548.455
1131.93	548.885
1132.83	549.315
1133.74	549.746
1134.64	550.176
1135.54	550.606
1136.44	551.037
1137.35	551.467
1138.25	551.897
1139.15	552.328
1140.05	552.758
1140.96	553.188
1141.86	553.618
1142.76	554.049
1143.67	554.479
1144.57	554.909
1145.47	555.339
1146.37	555.77
1147.28	556.2
1148.18	556.63
1149.08	557.06
1149.98	557.49
1150.89	557.921
1151.79	558.351
1152.69	558.781
1153.6	559.211
1154.5	559.641
1155.4	560.071
1156.3	560.501
1157.21	560.931
1158.11	561.362
1159.01	561.792
1159.92	562.222
1160.82	562.652
1161.72	563.082
1162.62	563.512
1163.53	563.942
1164.43	564.372
1165.33	564.802
1166.24	565.232
1167.14	565.662
1168.04	566.092
1168.94	566.522
1169.85	566.952
1170.75	567.382
1171.65	567.812
1172.55	568.242
1173.46	568.671
1174.36	569.101
1175.26	569.531
1176.17	569.961
1177.07	570.391
1177.97	570.821
1178.88	571.251
1179.78	571.681
1180.68	572.11
1181.58	572.54
1182.49	572.97
1183.39	573.4
1184.29	573.83
1185.2	574.259
1186.1	574.689
1187	575.119
1187.9	575.549
1188.81	575.979
1189.71	576.408
1190.61	576.838
1191.52	577.268
1192.42	577.697
1193.32	578.127
1194.23	578.557
1195.13	578.986
1196.03	579.416
1196.93	579.846
1197.84	580.275
1198.74	580.705
1199.64	581.135
1200.55	581.564
1201.45	581.994
1202.35	582.424
1203.26	582.853
1204.16	583.283
1205.06	583.712
1205.96	584.142
1206.87	584.571
1207.77	585.001
1208.67	585.43
1209.58	585.86
1210.48	586.289
1211.38	586.719
1212.29	587.148
1213.19	587.578
1214.09	588.007
1214.99	588.437
1215.9	588.866
1216.8	589.296
1217.7	589.725
1218.61	590.155
1219.51	590.584
1220.41	591.013
